Position,Round 1,Round 2,Rounds 3-6,Rounds 7-12
LB,4.691,4.52,8.097,8.405999999999999
G,2.08,1.622,4.522,8.233
OLB,0.042,0.018,0.079,0.004
DB,6.079,5.475,8.940999999999999,11.067
ILB,0.007,0.039,0.03,0.004
DE,4.965,2.527,4.964,4.102
K,0.036,0.078,0.487,1.297
C,0.635,1.278,2.3190000000000004,2.503
WR,4.537,3.13,5.289000000000001,5.427
FS,0.007,0.005,0.017,0.002
CB,0.061,0.034,0.059000000000000004,0.001
TE,0.803,0.681,1.815,1.485
NT,0.316,0.252,0.64,1.308
DT,3.044,1.137,3.9050000000000002,2.021
FB,0.124,0.027,0.30200000000000005,0.131
RB,4.346,2.374,3.859,5.0409999999999995
T,4.819,2.1,4.013999999999999,3.619
QB,3.545,1.058,2.222,2.705
