Position,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8/Undrafted
DB,0.0,0.6785714285714286,0.8791666666666668,0.7285714285714285,0.586419753074074,0.7814814814999999,0.6958333333500001,0.5889880952321429
LS,0.0,0.0,2.111111111,1.4,1.0,0.0,0.5643615643333333,0.920403598125
TE,3.6287598811379307,2.2479269572708334,1.7221203260526317,1.2373125386428572,0.9999863163275862,1.1212223311509437,0.6748612498181817,0.4017813196836364
P,0.0,1.8173076925,1.994139194,1.7771428571999999,2.053759217416667,1.5850744494285716,1.9080128205000002,1.3291071755842696
LB,4.250986051,1.514852607761905,1.9737179487179486,1.5505994596382977,1.1821968629615383,1.0893081760943397,0.7655737705081969,0.5708494993421928
K,3.352941176,1.7861842105,1.9265873017142856,1.9979989372500002,1.5,2.0712121212727275,1.4425943105,1.6814430301979162
CB,5.047043260259257,3.8344457215376337,2.334339148267327,2.2135213050999996,1.997043938405797,1.6234708839677419,1.5616702741666668,1.105842592586667
RB,5.667893151702381,4.127638883480519,2.969617832012048,2.148013664316327,1.7613755147317076,1.3812302155301206,1.1841043083714289,0.7988982250022272
WR,5.6827675100695645,4.1038912898608695,3.030843048263157,2.3536859580582523,1.829685245318182,1.1863644039148935,1.2216110198850574,1.0188887623179823
DE,5.481396699322917,3.7801841948823536,2.9124549650508484,2.810461213939394,2.2339592325490196,1.8440757575200002,1.2221638655441176,1.2231666878285716
QB,6.686356821611111,4.130500621580645,2.447995807615384,2.3370980871794873,1.177404295,2.0091673032285717,0.9090816326285714,1.9591719517727275
S,5.684516467354168,4.578309267076923,3.0697918202295083,2.438167262022727,2.3841586683544302,1.8086533704285714,2.024162382765625,1.4469895801713388
DT,5.655063723516128,3.7085864598333336,3.3997695768235294,2.828941455371428,2.7623147320175443,2.2262054689166666,1.5195709647428572,1.4654297813360004
T,6.450332796697249,4.9602883000655735,3.313196377053571,3.4612533692641523,2.2574678562333332,2.127942418106383,2.4699099118867927,2.080732548692709
OLB,6.321039637453126,5.044964150406249,4.281806062469387,3.501375974461539,3.59456931953125,3.1471928277407413,1.9382515632962964,2.3321201814
G,6.5239102256666675,5.512704778862747,4.587132967416668,3.5452590419354832,2.7889006108275867,2.3377370045813954,2.809428277518518,2.0950290730404033
ILB,7.106371431242426,5.731634972489361,4.013482313378378,3.544572160690476,3.317219508814815,1.920865335419355,2.014040423857143,2.661829438555555
C,6.515467171666667,5.665285508178572,4.608501082149999,3.6159722222083333,3.3209441351904765,2.8792606516315793,2.5539793540434785,2.1275133226448597
