Team,QB,WR,RB,TE,OG,OT,C,DE,DT,LB,DB,P,K
IND,11.0,13.0,24.0,3.0,15.0,16.0,8.0,9.0,4.0,11.0,15.0,2.0,2.0
NOR,8.0,7.0,20.0,4.0,13.0,12.0,6.0,7.0,14.0,28.0,29.0,2.0,1.0
CLE,11.0,11.0,20.0,7.0,15.0,15.0,7.0,17.0,8.0,32.0,32.0,2.0,0.0
ARI,11.0,21.0,22.0,3.0,26.0,9.0,8.0,6.0,17.0,23.0,27.0,2.0,3.0
CHI,4.0,13.0,15.0,0.0,11.0,11.0,6.0,4.0,28.0,40.0,44.0,1.0,1.0
OAK,5.0,13.0,13.0,7.0,12.0,14.0,7.0,20.0,8.0,39.0,38.0,3.0,2.0
SEA,15.0,18.0,22.0,3.0,18.0,16.0,9.0,16.0,11.0,22.0,27.0,2.0,2.0
LAR,0.0,16.0,19.0,3.0,13.0,11.0,15.0,18.0,13.0,27.0,43.0,0,6.0
TEN,8.0,15.0,19.0,7.0,13.0,17.0,9.0,14.0,11.0,34.0,31.0,2.0,4.0
MIN,12.0,18.0,17.0,7.0,15.0,15.0,8.0,18.0,8.0,36.0,32.0,2.0,5.0
NWE,12.0,14.0,19.0,7.0,23.0,10.0,14.0,17.0,13.0,29.0,32.0,2.0,3.0
WAS,12.0,16.0,26.0,5.0,17.0,19.0,9.0,19.0,14.0,26.0,35.0,2.0,2.0
GNB,13.0,18.0,20.0,7.0,17.0,14.0,9.0,17.0,8.0,37.0,36.0,2.0,6.0
BUF,12.0,22.0,22.0,3.0,17.0,15.0,9.0,20.0,12.0,38.0,37.0,2.0,3.0
TAM,13.0,17.0,18.0,7.0,22.0,10.0,9.0,16.0,17.0,42.0,39.0,3.0,2.0
NYG,5.0,14.0,17.0,4.0,13.0,14.0,7.0,23.0,11.0,57.0,47.0,3.0,4.0
KAN,11.0,20.0,23.0,5.0,16.0,18.0,9.0,19.0,11.0,40.0,41.0,2.0,6.0
ATL,13.0,23.0,24.0,4.0,17.0,18.0,10.0,14.0,14.0,41.0,40.0,2.0,3.0
MIA,13.0,19.0,22.0,5.0,22.0,18.0,10.0,19.0,13.0,38.0,39.0,2.0,5.0
DEN,12.0,17.0,21.0,6.0,15.0,18.0,9.0,21.0,11.0,52.0,41.0,2.0,1.0
NYJ,11.0,14.0,25.0,5.0,16.0,21.0,13.0,15.0,32.0,31.0,38.0,2.0,4.0
DET,14.0,22.0,28.0,6.0,21.0,20.0,11.0,23.0,13.0,29.0,34.0,3.0,5.0
PIT,14.0,23.0,19.0,6.0,17.0,17.0,16.0,13.0,17.0,43.0,43.0,3.0,2.0
DAL,14.0,20.0,22.0,5.0,20.0,21.0,8.0,24.0,24.0,32.0,39.0,0,6.0
LAC,19.0,28.0,26.0,15.0,26.0,25.0,12.0,14.0,25.0,20.0,19.0,2.0,4.0
SFO,13.0,20.0,21.0,4.0,21.0,14.0,7.0,29.0,11.0,46.0,46.0,2.0,3.0
CIN,20.0,26.0,20.0,12.0,18.0,27.0,10.0,18.0,9.0,39.0,38.0,4.0,3.0
PHI,13.0,20.0,27.0,3.0,19.0,22.0,10.0,24.0,18.0,52.0,43.0,2.0,4.0
