"Rk","Player","URL","Year","Age","Draft","Tm","Lg","G","GS","Yrs","PB","AP1","AV"
"1","O.J. Simpson","/players/S/SimpO.00.htm","1975","28","1-1abc","BUF","NFL","14","14","1","1","1","25"
"2","Rolland Lawrence","/players/L/LawrRo00.htm","1977","26","Noneabc","ATL","NFL","14","14","1","1","1","24"
"3","Wilber Marshall","/players/M/MarsWi00.htm","1986","24","1-11abc","CHI","NFL","16","15","1","1","1","23"
"4","Lydell Mitchell","/players/M/MitcLy00.htm","1976","27","2-48abc","BAL","NFL","14","14","1","1","0","23"
"5","Pat Swilling","/players/S/SwilPa00.htm","1991","27","3-60abc","NOR","NFL","16","16","1","1","1","23"
"6","Steve Young","/players/Y/YounSt00.htm","1993","32","1-1abc","SFO","NFL","16","16","1","1","1","23"
"7","Steve Young","/players/Y/YounSt00.htm","1994","33","1-1abc","SFO","NFL","16","16","1","1","1","23"
"8","Otis Armstrong","/players/A/ArmsOt00.htm","1974","24","1-9abc","DEN","NFL","14","14","1","1","1","22"
"9","Wes Chandler","/players/C/ChanWe00.htm","1982","26","1-3abc","SDG","NFL","8","8","1","1","1","22"
"10","Dan Fouts","/players/F/FoutDa00.htm","1982","31","3-64abc","SDG","NFL","9","9","1","1","1","22"
"11","Bert Jones","/players/J/JoneBe00.htm","1976","25","1-2abc","BAL","NFL","14","14","1","1","1","22"
"12","Steve Young","/players/Y/YounSt00.htm","1992","31","1-1abc","SFO","NFL","16","16","1","1","1","22"
"13","Dan Marino","/players/M/MariDa00.htm","1984","23","1-27abc","MIA","NFL","16","16","1","1","1","21"
"14","Jerry Rice","/players/R/RiceJe00.htm","1994","32","1-16abc","SFO","NFL","16","16","1","1","1","21"
"15","Ken Anderson","/players/A/AndeKe00.htm","1982","33","3-67abc","CIN","NFL","9","9","1","1","0","20"
"16","Doug Betters","/players/B/BettDo00.htm","1983","27","6-163abc","MIA","NFL","16","16","1","1","1","20"
"17","Willie Brown","/players/B/BrowWi01.htm","1973","33","Noneabc","OAK","NFL","14","14","1","1","1","20"
"18","Chuck Foreman","/players/F/ForeCh00.htm","1975","25","1-12abc","MIN","NFL","14","12","1","1","1","20"
"19","Mark Gastineau","/players/G/GastMa00.htm","1982","26","2-41abc","NYJ","NFL","9","9","1","1","1","20"
"20","Charles Haley","/players/H/HaleCh00.htm","1990","26","4-96abc","SFO","NFL","16","16","1","1","1","20"
"21","Karl Mecklenburg","/players/M/MeckKa00.htm","1989","29","12-310abc","DEN","NFL","15","15","1","1","1","20"
"22","Keith Millard","/players/M/MillKe00.htm","1988","26","1-13abc","MIN","NFL","15","15","1","1","1","20"
"23","Lydell Mitchell","/players/M/MitcLy00.htm","1977","28","2-48abc","BAL","NFL","14","14","1","1","0","20"
"24","Lydell Mitchell","/players/M/MitcLy00.htm","1975","26","2-48abc","BAL","NFL","14","14","1","1","0","20"
"25","Joe Nash","/players/N/NashJo00.htm","1984","24","Noneabc","SEA","NFL","16","16","1","1","1","20"
"26","Walter Payton","/players/P/PaytWa00.htm","1977","23","1-4abc","CHI","NFL","14","14","1","1","1","20"
