"Rk","Player","URL","Year","Age","Draft","Tm","Lg","G","GS","Yrs","PB","AP1","AV","Position"
"1","LaDainian Tomlinson","/players/T/TomlLa00.htm","2006","27","1-5","SDG","NFL","16","16","1","1","1","26","RB"
"2","Marshall Faulk","/players/F/FaulMa00.htm","1999","26","1-2","STL","NFL","16","16","1","1","1","25","fb/RB"
"3","Tom Brady","/players/B/BradTo00.htm","2007","30","6-199","NWE","NFL","16","16","1","1","1","24","QB"
"4","Derrick Brooks","/players/B/BrooDe00.htm","1999","26","1-28","TAM","NFL","16","16","1","1","1","23","LB"
"5","Priest Holmes","/players/H/HolmPr00.htm","2002","29","None","KAN","NFL","14","14","1","1","1","23","RB"
"6","Ray Lewis","/players/L/LewiRa00.htm","2000","25","1-26","BAL","NFL","16","16","1","1","1","23","MLB"
"7","Aaron Rodgers","/players/R/RodgAa00.htm","2011","28","1-24","GNB","NFL","15","15","1","1","1","23","QB"
"8","Steve Young","/players/Y/YounSt00.htm","1994","33","1-1","SFO","NFL","16","16","1","1","1","23","QB"
"9","Derrick Brooks","/players/B/BrooDe00.htm","2002","29","1-28","TAM","NFL","16","16","1","1","1","22","LB"
"10","Kevin Carter","/players/C/CartKe00.htm","1999","26","1-6","STL","NFL","16","16","1","1","1","22","DE"
"11","Terrell Davis","/players/D/DaviTe00.htm","1998","26","6-196","DEN","NFL","16","16","1","1","1","22","RB"
"12","Marshall Faulk","/players/F/FaulMa00.htm","2000","27","1-2","STL","NFL","14","14","1","1","1","22","RB"
"13","Marshall Faulk","/players/F/FaulMa00.htm","2001","28","1-2","STL","NFL","14","14","1","1","1","22","RB"
"14","Orlando Pace","/players/P/PaceOr00.htm","2000","25","1-1","STL","NFL","16","16","1","1","0","22","LT/t"
"15","Samari Rolle","/players/R/RollSa00.htm","2000","24","2-46","TEN","NFL","15","15","1","1","1","22","cb/lcb/RCB"
"16","J.J. Watt","/players/W/WattJ.00.htm","2014","25","1-11","HOU","NFL","16","16","1","1","1","22","DE"
"17","Tiki Barber","/players/B/BarbTi00.htm","2005","30","2-36","NYG","NFL","16","16","1","1","1","21","RB"
"18","Tom Brady","/players/B/BradTo00.htm","2011","34","6-199","NWE","NFL","16","16","1","1","0","21","QB"
"19","Rob Burnett","/players/B/BurnRo00.htm","2000","33","5-129","BAL","NFL","16","16","1","0","0","21","DE"
"20","Daunte Culpepper","/players/C/CulpDa00.htm","2000","23","1-11","MIN","NFL","16","16","1","1","0","21","QB"
"21","David Harris","/players/H/HarrDa99.htm","2009","25","2-47","NYJ","NFL","16","16","1","0","0","21","MLB"
"22","Priest Holmes","/players/H/HolmPr00.htm","2003","30","None","KAN","NFL","16","16","1","1","1","21","RB"
"23","Edgerrin James","/players/J/JameEd00.htm","2000","22","1-4","IND","NFL","16","16","1","1","0","21","RB"
"24","Edgerrin James","/players/J/JameEd00.htm","2004","26","1-4","IND","NFL","16","16","1","1","0","21","RB"
"25","Edgerrin James","/players/J/JameEd00.htm","1999","21","1-4","IND","NFL","16","16","1","1","1","21","RB"
"26","Ray Lewis","/players/L/LewiRa00.htm","1999","24","1-26","BAL","NFL","16","16","1","1","1","21","lb/MLB"
"27","Peyton Manning","/players/M/MannPe00.htm","2004","28","1-1","IND","NFL","16","16","1","1","1","21","QB"
"28","Darrelle Revis","/players/R/ReviDa99.htm","2009","24","1-14","NYJ","NFL","16","16","1","1","1","21","cb/LCB"
"29","Jerry Rice","/players/R/RiceJe00.htm","1994","32","1-16","SFO","NFL","16","16","1","1","1","21","WR"
"30","Simeon Rice","/players/R/RiceSi00.htm","2002","28","1-3","TAM","NFL","16","16","1","1","1","21","DE"
"31","Aaron Rodgers","/players/R/RodgAa00.htm","2014","31","1-24","GNB","NFL","16","16","1","1","1","21","QB"
