"year","player","url","position","college","weight"
"2000","Bashir Yamini","/players/Y/YamiBa20.htm","WR","Iowa","191"
"2000","Spergon Wynn","/players/W/WynnSp00.htm","QB","Texas State","229"
"2000","Cedric Woodard","/players/W/WoodCe20.htm","DT","Texas","290"
"2000","Josh Williams","/players/W/WillJo30.htm","DT","Michigan","282"
"2000","James Williams","/players/W/WillJa01.htm","WR","Marshall","180"
"2000","Michael Wiley","/players/W/WileMi00.htm","RB","Ohio State","193"
"2000","Dez White","/players/W/WhitDe00.htm","WR","Georgia Tech","218"
"2000","Steve Warren","/players/W/WarrSt20.htm","DT","Nebraska","307"
"2000","Peter Warrick","/players/W/WarrPe00.htm","WR","Florida State","194"
"2000","Troy Walters","/players/W/WaltTr00.htm","WR","Stanford","171"
"2000","Darwin Walker","/players/W/WalkDa21.htm","DT","Tennessee","293"
"2000","Mao Tosi","/players/T/TosiMa20.htm","DT","Idaho","310"
"2000","Jason Thomas","/players/T/ThomJa20.htm","OG","Hampton","300"
"2000","Travis Taylor","/players/T/TaylTr01.htm","WR","Florida","199"
"2000","Mark Tauscher","/players/T/TausMa20.htm","OG","Wisconsin","318"
"2000","Shyrone Stith","/players/S/StitSh00.htm","RB","Virginia Tech","204"
"2000","R. Jay Soward","/players/S/SowaR.00.htm","WR","Southern California","177"
"2000","Terrelle Smith","/players/S/SmitTe00.htm","FB","Arizona State","249"
"2000","Paul Smith","/players/S/SmitPa00.htm","FB","Texas-El Paso","220"
"2000","Corey Simon","/players/S/SimoCo00.htm","DT","Florida State","297"
"2000","Aaron Shea","/players/S/SheaAa00.htm","FB","Michigan","253"
"2000","Giovanni Carmazzi","","QB","Hofstra","224"
"2000","Gari Scott","/players/S/ScotGa00.htm","WR","Michigan State","194"
"2000","Blaine Saipaia","/players/S/SaipBl20.htm","OG","Colorado State","321"
"2000","Fred Robbins","/players/R/RobbFr20.htm","DT","Wake Forest","312"
"2000","J.R. Redmond","/players/R/RedmJ.00.htm","RB","Arizona State","216"
"2000","Chris Redman","/players/R/RedmCh00.htm","QB","Louisville","222"
"2000","Richard Mercier","","OG","Miami (FL)","295"
"2000","Tim Rattay","/players/R/RattTi00.htm","QB","Louisiana Tech","215"
"2000","Andrew Kline","","OG","San Diego State","305"
"2000","Travis Prentice","/players/P/PrenTr00.htm","RB","Miami (OH)","225"
"2000","Jerry Porter","/players/P/PortJe00.htm","WR","West Virginia","221"
"2000","Todd Pinkston","/players/P/PinkTo00.htm","WR","Southern Miss","169"
"2000","Mareno Philyaw","/players/P/PhilMa20.htm","WR","Troy","205"
"2000","Thomas Hamner","","RB","Minnesota","197"
"2000","Chad Pennington","/players/P/PennCh01.htm","QB","Marshall","229"
"2000","Richard Seals","","DT","Utah","316"
"2000","Dennis Northcutt","/players/N/NortDe00.htm","WR","Arizona","175"
"2000","Sherrod Gideon","","WR","Southern Miss","173"
"2000","Chad Morton","/players/M/MortCh00.htm","RB","Southern California","182"
"2000","Sylvester Morris","/players/M/MorrSy00.htm","WR","Jackson State","216"
"2000","Sammy Morris","/players/M/MorrSa00.htm","FB","Texas Tech","221"
"2000","Frank Moreau","/players/M/MoreFr00.htm","RB","Louisville","231"
"2000","Scottie Montgomery","/players/M/MontSc00.htm","WR","Duke","196"
"2000","Brad Meester","/players/M/MeesBr20.htm","C","Northern Iowa","298"
"2000","Rondell Mealey","/players/M/MealRo00.htm","RB","LSU","212"
"2000","Alvin McKinley","/players/M/McKiAl20.htm","DT","Mississippi State","289"
"2000","Kevin McDougal","/players/M/McDoKe01.htm","RB","Colorado State","206"
"2000","Tee Martin","/players/M/MartTe00.htm","QB","Tennessee","227"
"2000","Al Lucas","/players/L/LucaAl20.htm","DT","Troy","294"
"2000","Jamal Lewis","/players/L/LewiJa00.htm","RB","Tennessee","240"
"2000","Charles Lee","/players/L/LeexCh00.htm","WR","Central Florida","202"
"2000","Leif Larsen","/players/L/LarsLe20.htm","DT","Texas-El Paso","300"
"2000","Noel LaMontagne","/players/L/LamoNo20.htm","OG","Virginia","299"
"2000","Marcus Knight","/players/K/KnigMa00.htm","WR","Michigan","180"
"2000","Curtis Keaton","/players/K/KeatCu00.htm","RB","James Madison","214"
"2000","Leander Jordan","/players/J/JordLe20.htm","OG","Indiana (PA)","330"
"2000","Thomas Jones","/players/J/JoneTh00.htm","RB","Virginia","216"
"2000","Jerry Johnson","/players/J/JohnJe21.htm","DT","Florida State","293"
"2000","Dwight Johnson","/players/J/JohnDw20.htm","DT","Baylor","285"
"2000","Doug Johnson","/players/J/JohnDo00.htm","QB","Florida","226"
"2000","Ronney Jenkins","/players/J/JenkRo00.htm","RB","Northern Arizona","184"
"2000","Jeno James","/players/J/JameJe20.htm","OG","Auburn","320"
"2000","Marlion Jackson","/players/J/JackMa01.htm","RB","Saginaw Valley State","242"
"2000","Jarious Jackson","/players/J/JackJa01.htm","QB","Notre Dame","226"
"2000","Darrell Jackson","/players/J/JackDa00.htm","WR","Florida","197"
"2000","Jabari Issa","/players/I/IssaJa20.htm","DT","Washington","296"
"2000","Junior Ioane","/players/I/IoanJu20.htm","DT","Arizona State","324"
"2000","Trevor Insley","/players/I/InslTr00.htm","WR","Nevada","192"
"2000","Todd Husak","/players/H/HusaTo20.htm","QB","Stanford","216"
"2000","Chris Hovan","/players/H/HovaCh20.htm","DT","Boston College","305"
"2000","Steve Herndon","/players/H/HernSt20.htm","OG","Georgia","297"
"2000","Windrell Hayes","/players/H/HayeWi00.htm","WR","Southern California","204"
"2000","Joe Hamilton","/players/H/HamiJo20.htm","QB","Georgia Tech","192"
"2000","Troy Hambrick","/players/H/HambTr00.htm","RB","Savannah State","237"
"2000","Damian Gregory","/players/G/GregDa20.htm","DT","Illinois State","307"
"2000","Mike Green","/players/G/GreeMi00.htm","FB","Houston","253"
"2000","Ernest Grant","/players/G/GranEr20.htm","DT","Arkansas-Pine Bluff","316"
"2000","Anthony Lucas","","WR","Arkansas","194"
"2000","Trevor Gaylor","/players/G/GaylTr00.htm","WR","Miami (OH)","199"
"2000","Mondriel Fulcher","/players/F/FulcMo20.htm","FB","Miami (FL)","253"
"2000","Larry Foster","/players/F/FostLa00.htm","WR","LSU","198"
"2000","Danny Farmer","/players/F/FarmDa00.htm","WR","UCLA","217"
"2000","Deon Dyer","/players/D/DyerDe00.htm","FB","North Carolina","260"
"2000","Ron Dugans","/players/D/DugaRo00.htm","WR","Florida State","206"
"2000","Reuben Droughns","/players/D/DrouRe00.htm","RB","Oregon","215"
"2000","Muneer Moore","","WR","Richmond","201"
"2000","Jerry DeLoach","/players/D/DeLoJe20.htm","DT","California","314"
"2000","Ron Dayne","/players/D/DaynRo00.htm","RB","Wisconsin","259"
"2000","JaJuan Dawson","/players/D/DawsJa00.htm","WR","Tulane","199"
"2000","Chris Combs","/players/C/CombCh21.htm","DT","Duke","286"
"2000","Laveranues Coles","/players/C/ColeLa00.htm","WR","Florida State","192"
"2000","Cosey Coleman","/players/C/ColeCo21.htm","OG","Tennessee","322"
"2000","Chris Coleman","/players/C/ColeCh01.htm","WR","North Carolina State","211"
"2000","Chris Cole","/players/C/ColeCh00.htm","WR","Texas A&M","191"
"2000","Matt Johnson","","OG","BYU","345"
"2000","Manuia Savea","","OG","Arizona","308"
"2000","Travis Claridge","/players/C/ClarTr20.htm","OG","Southern California","303"
"2000","Kendrick Clancy","/players/C/ClanKe20.htm","DT","Mississippi","283"
"2000","Doug Chapman","/players/C/ChapDo00.htm","RB","Marshall","215"
"2000","Kwame Cavil","/players/C/CaviKw00.htm","WR","Texas","208"
"2000","Cooper Carlisle","/players/C/CarlCo20.htm","OG","Florida","297"
