"year","player","url","position","college","height","weight","dash","vert_leap","bench","broad","cone","shuttle"
"2000","Bashir Yamini","/players/Y/YamiBa20.htm","WR","Iowa","75","191","4.53","33.0","0","130","7.09","4.18"
"2000","Spergon Wynn","/players/W/WynnSp00.htm","QB","Texas State","75","229","4.91","34.0","0","108","7.71","4.59"
"2000","Cedric Woodard","/players/W/WoodCe20.htm","DT","Texas","74","290","5.21","30.5","23","109","0","0"
"2000","Josh Williams","/players/W/WillJo30.htm","DT","Michigan","75","282","4.90","30.5","0","111","7.22","4.25"
"2000","James Williams","/players/W/WillJa01.htm","WR","Marshall","71","180","4.59","36.0","0","123","7.22","4.16"
"2000","Michael Wiley","/players/W/WileMi00.htm","RB","Ohio State","71","193","4.50","0","0","0","0","0"
"2000","Dez White","/players/W/WhitDe00.htm","WR","Georgia Tech","73","218","4.62","37.5","0","124","6.91","4.09"
"2000","Steve Warren","/players/W/WarrSt20.htm","DT","Nebraska","73","307","5.10","30.5","29","105","7.97","4.56"
"2000","Peter Warrick","/players/W/WarrPe00.htm","WR","Florida State","71","194","4.58","0","0","0","0","0"
"2000","Troy Walters","/players/W/WaltTr00.htm","WR","Stanford","66","171","4.55","32.5","0","106","6.61","3.84"
"2000","Darwin Walker","/players/W/WalkDa21.htm","DT","Tennessee","74","293","4.82","0","0","0","0","0"
"2000","Mao Tosi","/players/T/TosiMa20.htm","DT","Idaho","77","310","5.26","28.5","19","99","7.72","4.60"
"2000","Jason Thomas","/players/T/ThomJa20.htm","OG","Hampton","75","300","5.22","29.5","23","100","7.99","0"
"2000","Travis Taylor","/players/T/TaylTr01.htm","WR","Florida","73","199","4.43","37.0","0","118","7.15","0"
"2000","Mark Tauscher","/players/T/TausMa20.htm","OG","Wisconsin","75","318","5.37","27.0","22","90","7.91","4.84"
"2000","Shyrone Stith","/players/S/StitSh00.htm","RB","Virginia Tech","67","204","4.60","35.0","13","111","7.14","4.14"
"2000","R. Jay Soward","/players/S/SowaR.00.htm","WR","Southern California","69","177","4.34","35.0","0","124","0","0"
"2000","Terrelle Smith","/players/S/SmitTe00.htm","FB","Arizona State","72","249","5.00","32.5","19","109","8.38","4.85"
"2000","Paul Smith","/players/S/SmitPa00.htm","FB","Texas-El Paso","71","220","4.65","0","25","0","0","0"
"2000","Corey Simon","/players/S/SimoCo00.htm","DT","Florida State","74","297","4.83","0","0","0","0","0"
"2000","Aaron Shea","/players/S/SheaAa00.htm","FB","Michigan","76","253","4.81","37.5","0","114","6.72","4.30"
"2000","Giovanni Carmazzi","","QB","Hofstra","75","224","4.74","36.5","0","119","6.94","4.23"
"2000","Gari Scott","/players/S/ScotGa00.htm","WR","Michigan State","72","194","4.59","33.5","0","119","0","0"
"2000","Blaine Saipaia","/players/S/SaipBl20.htm","OG","Colorado State","75","321","5.35","0","0","0","0","0"
"2000","Fred Robbins","/players/R/RobbFr20.htm","DT","Wake Forest","76","312","5.09","29.5","25","94","7.72","4.72"
"2000","J.R. Redmond","/players/R/RedmJ.00.htm","RB","Arizona State","71","216","4.48","32.5","0","121","0","0"
"2000","Chris Redman","/players/R/RedmCh00.htm","QB","Louisville","75","222","5.37","26.5","0","98","7.80","4.78"
"2000","Richard Mercier","","OG","Miami (FL)","75","295","5.39","26.0","18","97","7.84","4.78"
"2000","Tim Rattay","/players/R/RattTi00.htm","QB","Louisiana Tech","72","215","4.91","25.5","0","100","7.34","4.21"
"2000","Andrew Kline","","OG","San Diego State","74","305","5.43","28.0","26","103","7.54","4.60"
"2000","Travis Prentice","/players/P/PrenTr00.htm","RB","Miami (OH)","72","225","4.50","37.0","23","115","6.92","4.40"
"2000","Jerry Porter","/players/P/PortJe00.htm","WR","West Virginia","74","221","4.48","0","0","0","0","0"
"2000","Todd Pinkston","/players/P/PinkTo00.htm","WR","Southern Miss","74","169","4.45","0","0","0","0","0"
"2000","Mareno Philyaw","/players/P/PhilMa20.htm","WR","Troy","74","205","4.66","39.5","0","129","6.93","4.13"
"2000","Thomas Hamner","","RB","Minnesota","72","197","4.50","32.0","17","125","6.97","4.07"
"2000","Chad Pennington","/players/P/PennCh01.htm","QB","Marshall","75","229","4.81","33.5","0","111","7.12","4.16"
"2000","Richard Seals","","DT","Utah","74","316","5.13","28.5","24","102","7.78","4.60"
"2000","Dennis Northcutt","/players/N/NortDe00.htm","WR","Arizona","70","175","4.43","37.5","0","123","6.96","4.04"
"2000","Sherrod Gideon","","WR","Southern Miss","71","173","4.66","0","0","0","0","0"
"2000","Chad Morton","/players/M/MortCh00.htm","RB","Southern California","68","182","4.50","36.0","18","121","0","0"
"2000","Sylvester Morris","/players/M/MorrSy00.htm","WR","Jackson State","75","216","4.60","34.5","0","119","7.06","4.17"
