name,year,player_id,college,position,height,weight,hand_size,arm_length,wonderlic,dash,bench,vert_leap,broad_jump,shuttle,cone,long_shuttle
"Jamal Adams",2017,6845,LSU,S,72,214,9.25,33.38,0,4.56,18,31.5,120.0,0.0,6.96,0.0
"Montravius Adams",2017,5279,Auburn,DT,76,304,9.25,32.75,0,4.87,22,29.0,108.0,0.0,7.62,0.0
"Rodney Adams",2017,5280,"South Florida",WR,73,189,9.0,32.0,0,4.44,8,29.5,125.0,4.32,6.98,0.0
"Quincy Adeboyejo",2017,5281,Mississippi,WR,75,197,9.38,31.75,0,4.42,8,34.5,123.0,0.0,6.73,0.0
"Brian Allen",2017,5433,Utah,DB,75,215,10.0,34.0,0,4.48,15,34.5,117.0,0.0,6.64,0.0
"Jonathan Allen",2017,5282,Alabama,DE,75,286,9.38,33.63,0,5.0,21,30.0,108.0,4.44,7.49,0.0
"Ryan Anderson",2017,5434,Alabama,OLB,74,253,9.38,31.5,0,4.78,0,0.0,0.0,0.0,0.0,0.0
"Gavin Andrews",2017,6846,"Oregon St.",OG,77,340,0.0,0.0,0,0.0,0,0.0,0.0,5.09,0.0,0.0
"Alex Anzalone",2017,5435,Florida,LB,75,241,9.13,32.13,0,4.63,16,30.5,116.0,0.0,6.88,0.0
"Isaac Asiata",2017,5283,Utah,OG,75,323,10.38,33.75,0,5.34,35,25.5,102.0,5.0,7.83,0.0
"Antony Auclair",2017,6847,"none (CFL)",TE,78,254,0.0,0.0,0,0.0,0,0.0,0.0,4.45,0.0,12.08
"Erik Austell",2017,5284,"Charleston Southern",OT,75,301,9.0,32.0,0,5.23,24,27.5,107.0,0.0,8.13,0.0
"Chidobe Awuzie",2017,5436,Colorado,CB,72,202,8.5,30.63,0,4.43,16,34.5,132.0,4.18,6.81,0.0
"Budda Baker",2017,5437,Washington,S,70,195,9.0,30.75,0,4.45,15,32.5,115.0,4.68,6.76,0.0
"Toby Baker",2017,5438,Arkansas,P,75,210,9.25,31.63,0,0.0,0,0.0,0.0,0.0,0.0,0.0
"Zach Banner",2017,5285,USC,OT,80,353,10.75,34.88,0,5.58,22,23.5,92.0,4.58,8.31,0.0
"Derek Barnett",2017,5439,Tennessee,DE,75,259,10.0,32.13,0,4.88,0,31.0,117.0,4.44,6.96,11.71
"Tarell Basham",2017,5440,Ohio,DE,76,269,10.25,34.25,0,4.7,15,31.5,119.0,4.44,7.27,0.0
"C.J. Beathard",2017,5286,Iowa,QB,74,219,9.38,30.63,0,0.0,0,31.0,113.0,0.0,0.0,0.0
"Kendell Beckwith",2017,5441,LSU,ILB,74,243,9.5,33.0,0,0.0,20,0.0,0.0,0.0,0.0,0.0
"Collin Bevins",2017,6848,"Northwest Missouri St.",DE,78,285,0.0,0.0,0,0.0,0,0.0,0.0,4.39,0.0,0.0
"Vince Biegel",2017,5442,Wisconsin,OLB,75,246,9.13,32.38,0,4.67,21,33.5,118.0,0.0,6.92,0.0
"Adam Bisnowaty",2017,5443,Pittsburgh,OT,78,304,11.38,33.88,0,5.23,23,29.5,96.0,4.9,8.02,0.0
