Year,Rnd,Pick,Tm,Player,Player Clean,Pos,Age,To,St,CarAV,DrAV,G
1995,1,1,CIN,Ki-Jana Carter\CartKi00,Ki-Jana Carter,RB,22,2004,0,12,9,59
1995,1,2,JAX,Tony Boselli\BoseTo00,Tony Boselli,T,23,2001,6,64,64,91
1995,1,3,HOU,Steve McNair\McNaSt00,Steve McNair,QB,22,2007,10,100,93,161
1995,1,4,WAS,Michael Westbrook\WestMi00,Michael Westbrook,WR,23,2002,6,38,38,89
1995,1,5,CAR,Kerry Collins\CollKe00,Kerry Collins,QB,22,2011,11,81,12,198
1995,1,6,STL,Kevin Carter\CartKe00,Kevin Carter,DE,22,2008,14,90,46,224
1995,1,7,PHI,Mike Mamula\MamuMi20,Mike Mamula,DE,22,2000,4,33,33,77
1995,1,8,SEA,Joey Galloway\GallJo00,Joey Galloway,WR,23,2010,10,77,42,198
1995,1,9,NYJ,Kyle Brady\BradKy00,Kyle Brady,TE,23,2007,13,26,6,197
1995,1,10,SFO,J.J. Stokes\StokJ.00,J.J. Stokes,WR,22,2003,4,40,40,118
1995,1,11,MIN,Derrick Alexander\AlexDe20,Derrick Alexander,DE,21,1999,5,26,21,73
1995,1,12,TAM,Warren Sapp HOF\SappWa00,Warren Sapp HOF,DT,22,2007,12,120,107,198
1995,1,13,NOR,Mark Fields\FielMa99,Mark Fields,LB,22,2004,8,53,36,136
1995,1,14,BUF,Ruben Brown\BrowRu00,Ruben Brown,G,23,2007,13,82,69,181
1995,1,15,IND,Ellis Johnson\JohnEl20,Ellis Johnson,DT,21,2004,5,36,31,149
1995,1,16,NYJ,Hugh Douglas\DougHu00,Hugh Douglas,DE,24,2004,7,70,12,138
1995,1,17,NYG,Tyrone Wheatley\WheaTy00,Tyrone Wheatley,RB,23,2004,3,39,8,124
1995,1,18,OAK,Napoleon Kaufman\KaufNa00,Napoleon Kaufman,RB,22,2000,3,39,39,91
1995,1,19,JAX,James Stewart\StewJa00,James Stewart,RB,23,2002,5,45,22,101
1995,1,20,DET,Luther Elliss\ElliLu00,Luther Elliss,DT,22,2004,8,52,52,134
1995,1,21,CHI,Rashaan Salaam\SalaRa00,Rashaan Salaam,RB,20,1999,1,13,13,33
1995,1,22,CAR,Tyrone Poole\PoolTy20,Tyrone Poole,DB,23,2008,6,45,21,144
1995,1,23,NWE,Ty Law\LawxTy00,Ty Law,DB,21,2009,11,87,67,203
1995,1,24,MIN,Korey Stringer\StriKo00,Korey Stringer,T,21,2000,6,46,46,93
1995,1,25,MIA,Billy Milner\MilnBi21,Billy Milner,T,23,1996,1,7,6,30
1995,1,26,ATL,Devin Bush\BushDe20,Devin Bush,DB,22,2002,4,29,13,116
1995,1,27,PIT,Mark Bruener\BrueMa00,Mark Bruener,TE,23,2008,10,10,9,188
1995,1,28,TAM,Derrick Brooks HOF\BrooDe00,Derrick Brooks HOF,LB,22,2008,13,144,144,224
1995,1,29,CAR,Blake Brockermeyer\BrocBl20,Blake Brockermeyer,T,22,2003,7,40,21,136
1995,1,30,CLE,Craig Powell\PoweCr20,Craig Powell,LB,23,1998,0,1,1,14
1995,1,31,KAN,Trezelle Jenkins\JenkTr20,Trezelle Jenkins,T,22,1997,0,1,1,9
1995,1,32,GNB,Craig Newsome\NewsCr20,Craig Newsome,DB,24,1999,3,18,18,53
1995,2,33,NYJ,Matt O'Dwyer\ODwyMa20,Matt O'Dwyer,G,23,2004,7,41,23,122
1995,2,34,SDG,Terrance Shaw\ShawTe20,Terrance Shaw,DB,21,2004,5,32,23,140
1995,2,35,HOU,Anthony Cook\CookAn20,Anthony Cook,DE,23,1999,2,20,17,67
1995,2,36,CAR,Shawn King\KingSh20,Shawn King,DE,23,1999,1,10,5,48
1995,2,37,WAS,Cory Raymer\RaymCo20,Cory Raymer,C,22,2005,5,37,33,98
1995,2,38,STL,Zach Wiegert\WiegZa20,Zach Wiegert,G,23,2006,8,46,16,145
1995,2,39,SEA,Christian Fauria\FaurCh00,Christian Fauria,TE,24,2007,9,17,12,191
1995,2,40,JAX,Brian DeMarco\DeMaBr20,Brian DeMarco,G,23,1999,3,22,20,63
1995,2,41,ATL,Ron Davis\DaviRo24,Ron Davis,DB,23,1995,0,2,2,12
1995,2,42,MIN,Orlando Thomas\ThomOr20,Orlando Thomas,DB,22,2001,6,37,37,98
1995,2,43,TAM,Melvin Johnson\JohnMe20,Melvin Johnson,DB,23,1998,1,13,13,50
1995,2,44,NOR,Ray Zellars\ZellRa00,Ray Zellars,RB,22,1998,1,10,10,48
1995,2,45,BUF,Todd Collins\CollTo00,Todd Collins,QB,23,2010,1,11,8,50
1995,2,46,DAL,Sherman Williams\WillSh00,Sherman Williams,RB,22,1999,0,10,10,60
1995,2,47,ARI,Frank Sanders\SandFr00,Frank Sanders,WR,22,2003,8,44,43,136
1995,2,48,IND,Ken Dilger\DilgKe00,Ken Dilger,TE,24,2004,10,35,30,156
1995,2,49,OAK,Barret Robbins\RobbBa00,Barret Robbins,C,22,2003,7,55,55,121
1995,2,50,PHI,Bobby Taylor\TaylBo00,Bobby Taylor,DB,21,2004,7,50,49,129
1995,2,51,SDG,Terrell Fletcher\FletTe00,Terrell Fletcher,RB,22,2002,0,22,22,111
1995,2,52,CHI,Pat Riley\RilePa20,Pat Riley,DE,23,1995,0,0,0,1
1995,2,53,MIA,Andrew Greene\GreeAn20,Andrew Greene,G,26,1998,0,1,1,10
1995,2,54,NYG,Scott Gragg\GragSc20,Scott Gragg,T,23,2005,9,60,21,172
1995,2,55,MIN,Corey Fuller\FullCo20,Corey Fuller,DB,24,2004,9,41,19,152
1995,2,56,CHI,Todd Sauerbrun\SaueTo20,Todd Sauerbrun,P,22,2007,10,25,6,178
1995,2,57,NWE,Ted Johnson\JohnTe20,Ted Johnson,LB,22,2004,6,46,46,125
1995,2,58,PHI,Barrett Brooks\BrooBa20,Barrett Brooks,T,23,2005,4,29,19,118
1995,2,59,DAL,Kendell Watkins\WatkKe20,Kendell Watkins,TE,22,1995,0,0,0,16
1995,2,60,PIT,Kordell Stewart\StewKo00,Kordell Stewart,QB,22,2005,4,59,58,125
1995,2,61,SDG,Jimmy Oliver,Jimmy Oliver,WR,,,0,,,
1995,2,62,STL,Jesse James\JameJe21,Jesse James,C,24,1996,0,0,0,2
1995,2,63,DAL,Shane Hannah,Shane Hannah,G,,,0,,,
1995,2,64,JAX,Bryan Schwartz\SchwBr20,Bryan Schwartz,LB,23,1999,3,17,17,55
1995,3,65,GNB,Darius Holland\HollDa20,Darius Holland,DT,21,2004,1,19,5,111
1995,3,66,GNB,William Henderson\HendWi00,William Henderson,FB,24,2006,9,23,23,188
1995,3,67,HOU,Chris Sanders\SandCh00,Chris Sanders,WR,23,2001,4,29,29,97
