player.id,player.name,draft.year,draft.round,draft.pick,av.year,av.av_value
00001,"Robert Griffith",,,,1996,8
00001,"Robert Griffith",,,,1997,5
00001,"Robert Griffith",,,,1998,11
00001,"Robert Griffith",,,,1999,14
00001,"Robert Griffith",,,,2000,7
00001,"Robert Griffith",,,,2001,3
00001,"Robert Griffith",,,,2002,6
00001,"Robert Griffith",,,,2003,7
00001,"Robert Griffith",,,,2004,7
00001,"Robert Griffith",,,,2005,6
00001,"Robert Griffith",,,,2006,5
000010,"Jay Bellamy",,,,1994,0
000010,"Jay Bellamy",,,,1995,1
000010,"Jay Bellamy",,,,1996,1
000010,"Jay Bellamy",,,,1997,3
000010,"Jay Bellamy",,,,1998,7
000010,"Jay Bellamy",,,,1999,10
000010,"Jay Bellamy",,,,2000,6
000010,"Jay Bellamy",,,,2001,5
000010,"Jay Bellamy",,,,2002,7
000010,"Jay Bellamy",,,,2003,7
000010,"Jay Bellamy",,,,2004,6
000010,"Jay Bellamy",,,,2005,1
000010,"Jay Bellamy",,,,2006,2
000010,"Jay Bellamy",,,,2007,0
0000100,"Damon Watts",,,,1994,4
0000100,"Damon Watts",,,,1995,1
0000100,"Damon Watts",,,,1996,1
0000100,"Damon Watts",,,,1997,2
00001000,"J'Vonne Parker",,,,2005,1
00001000,"J'Vonne Parker",,,,2006,0
00001000,"J'Vonne Parker",,,,2008,0
00001001,"Adrian Awasom",,,,2005,0
00001001,"Adrian Awasom",,,,2006,1
00001001,"Adrian Awasom",,,,2007,0
00001001,"Adrian Awasom",,,,2011,0
00001002,"Derreck Robinson",,,,2005,0
00001002,"Derreck Robinson",,,,2006,1
00001002,"Derreck Robinson",,,,2007,0
00001002,"Derreck Robinson",,,,2009,0
00001002,"Derreck Robinson",,,,2010,0
00001003,"Jason Short",,,,2004,1
00001003,"Jason Short",,,,2005,0
00001003,"Jason Short",,,,2006,1
00001004,"Jonas Seawright",,,,2006,1
00001005,"Kevin Huntley",,,,2006,1
00001005,"Kevin Huntley",,,,2007,0
00001006,"Sean Conover",,,,2006,1
00001006,"Sean Conover",,,,2007,0
00001007,"Stephen Williams",,,,2006,1
00001008,"Steve Fifita",,,,2007,1
00001009,"Curtis Johnson",,,,2008,1
00001009,"Curtis Johnson",,,,2009,0
0000101,"Vance Joseph",,,,1995,4
0000101,"Vance Joseph",,,,1996,0
00001010,"Nic Clemons",,,,2005,0
00001010,"Nic Clemons",,,,2008,1
00001011,"Otis Grigsby",,,,2007,0
00001011,"Otis Grigsby",,,,2008,1
00001012,"Santonio Thomas",,,,2007,0
00001012,"Santonio Thomas",,,,2008,1
00001013,"Jeremy Jarmon",,,,2009,1
00001013,"Jeremy Jarmon",,,,2010,0
00001014,"Julius Williams",,,,2009,1
00001015,"Ryan Baker",,,,2009,0
00001015,"Ryan Baker",,,,2010,1
00001015,"Ryan Baker",,,,2011,0
00001015,"Ryan Baker",,,,2012,0
00001016,"Antwan Applewhite",,,,2008,1
00001016,"Antwan Applewhite",,,,2009,0
00001016,"Antwan Applewhite",,,,2010,6
00001016,"Antwan Applewhite",,,,2011,1
00001016,"Antwan Applewhite",,,,2012,1
00001017,"Demarcus Dobbs",,,,2011,1
00001017,"Demarcus Dobbs",,,,2012,0
00001017,"Demarcus Dobbs",,,,2013,0
00001017,"Demarcus Dobbs",,,,2014,1
00001017,"Demarcus Dobbs",,,,2015,1
00001018,"John Chick",,,,2011,1
00001018,"John Chick",,,,2012,1
00001019,"Malcolm Sheppard",,,,2010,0
00001019,"Malcolm Sheppard",,,,2011,1
0000102,"Donny Brady",,,,1995,0
0000102,"Donny Brady",,,,1996,4
0000102,"Donny Brady",,,,1997,3
0000102,"Donny Brady",,,,1998,1
00001020,"Nate Collins",,,,2010,0
00001020,"Nate Collins",,,,2011,1
00001020,"Nate Collins",,,,2012,1
00001020,"Nate Collins",,,,2013,1
00001021,"Phillip Hunt",,,,2011,1
00001021,"Phillip Hunt",,,,2012,1
00001021,"Phillip Hunt",,,,2015,0
00001022,"Thomas Keiser",,,,2011,1
00001022,"Thomas Keiser",,,,2012,0
00001022,"Thomas Keiser",,,,2013,2
00001022,"Thomas Keiser",,,,2014,1
00001023,"Will Tukuafu",,,,2011,1
00001023,"Will Tukuafu",,,,2012,1
00001023,"Will Tukuafu",,,,2013,0
00001023,"Will Tukuafu",,,,2014,0
00001023,"Will Tukuafu",,,,2015,0
00001023,"Will Tukuafu",,,,2016,0
00001024,"Aaron Morgan",,,,2010,0
00001024,"Aaron Morgan",,,,2012,1
00001025,"Anthony Toribio",,,,2009,0
00001025,"Anthony Toribio",,,,2010,0
00001025,"Anthony Toribio",,,,2012,1
00001025,"Anthony Toribio",,,,2013,1
00001026,"Nate Chandler",,,,2012,1
00001026,"Nate Chandler",,,,2013,4
00001026,"Nate Chandler",,,,2014,5
00001027,"Ronald Talley",,,,2011,0
00001027,"Ronald Talley",,,,2012,1
00001027,"Ronald Talley",,,,2013,1
00001028,"Brian Sanford",,,,2013,1
00001029,"Glenn Foster",,,,2013,1
00001029,"Glenn Foster",,,,2014,0
0000103,"Marquis Walker",,,,1996,2
0000103,"Marquis Walker",,,,1997,1
0000103,"Marquis Walker",,,,1998,4
