name,position_id,season_av,year,round
Robert Griffith,S,7.181818182,,
Jay Bellamy,S,4,,
Damon Watts,CB,2,,
J'Vonne Parker,DT,0.333333333,,
Adrian Awasom,DE,0.25,,
Derreck Robinson,DE,0.2,,
Jason Short,DE,0.666666667,,
Jonas Seawright,DT,1,,
Kevin Huntley,DE,0.5,,
Sean Conover,DE,0.5,,
Stephen Williams,DE,1,,
Steve Fifita,DT,1,,
Curtis Johnson,DE,0.5,,
Vance Joseph,CB,2,,
Nic Clemons,DT,0.5,,
Otis Grigsby,DE,0.5,,
Santonio Thomas,DT,0.5,,
Jeremy Jarmon,DE,0.5,,
Julius Williams,DE,1,,
Ryan Baker,DE,0.25,,
Antwan Applewhite,DE,1.8,,
Demarcus Dobbs,DE,0.6,,
John Chick,DE,1,,
Malcolm Sheppard,DT,0.5,,
Donny Brady,CB,2,,
Nate Collins,DT,0.75,,
Phillip Hunt,DE,0.666666667,,
Thomas Keiser,DE,1,,
Will Tukuafu,RB,0.333333333,,
Aaron Morgan,DE,0.5,,
Anthony Toribio,DT,0.5,,
Nate Chandler,G,3.333333333,,
Ronald Talley,DE,0.666666667,,
Brian Sanford,DE,1,,
Glenn Foster,DE,0.5,,
Marquis Walker,CB,1.8,,
Matt Conrath,DT,0.5,,
Paul Hazel,DE,0.5,,
Ryan Robinson,DE,1,,
Anthony Johnson,DT,1,,
Bradley Sowell,T,3,,
Brandon Bair,DE,1,,
Casey Walker,DT,0.5,,
Davon Coleman,DT,0.5,,
Josh Martin,OLB,0.75,,
Ricky Lumpkin,DT,0.333333333,,
George Coghill,S,1.75,,
T.J. Fatinikun,DE,0.5,,
Tenny Palepoi,DT,1,,
Tyson Clabo,T,7.222222222,,
Brandon Dunn,DT,0.333333333,,
Bruce Gaston,DT,1,,
Cooper Helfet,TE,1,,
Justin Staples,OLB,0.333333333,,
Justin Trattou,DE,0.333333333,,
Matt Longacre,DE,1,,
Ryan Delaire,DE,1,,
Lamar Campbell,S,1.6,,
T.Y. McGill,DT,1,,
Tavaris Barnes,DE,1,,
Tyler Polumbus,T,3.875,,
Tyreek Burwell,T,0.5,,
Anthony Lanier,DE,1,,
Brandon Copeland,OLB,1,,
Bryan Braman,OLB,1,,
Channing Ward,DE,1,,
Destiny Vaeao,DT,1,,
Lawrence Thomas,DE,1,,
Raion Hill,S,2.5,,
Morgan Fox,DE,1,,
Robert Thomas,DT,0.5,,
Ufomba Kamalu,DE,1,,
Woodrow Hamilton,DT,1,,
Xavier Williams,DT,0.5,,
Cornell Thomas,DE,0,,
Ed Philion,DT,0,,
Garry Howe,DT,0,,
Jim Hanna,DT,0,,
Keith Powe,DE,0,,
Anthony Mitchell,S,1.833333333,,
Sylvester Stanley,DT,0,,
Tyrone Rodgers,DT,0,,
Ed Hawthorne,DT,0,,
Garland Hawkins,DE,0,,
Herman Smith,DE,0,,
Andre Davis,DT,0,,
Brad Keeney,DT,0,,
Emile Palmer,DT,0,,
Jeff Faulkner,DE,0,,
Michael Samson,DT,0,,
Tod McBride,S,1.833333333,,
Tim Colston,DT,0,,
Walter Scott,DE,0,,
Albert Reese,DT,0,,
Jabbar Threats,DE,0,,
Ben Williams,DT,0,,
Cyron Brown,DT,0,,
David Hoelscher,DE,0,,
Henry Taylor,DT,0,,
Mike Moten,DT,0,,
Mike Sutton,DE,0,,
Don Davis,S,1.727272727,,
Reggie Lowe,DE,0,,
Bill Duff,DT,0,,
Ernie Brown,DE,0,,
Gaylon Hyder,DT,0,,
Ken Anderson,DT,0,,
Kipp Vickers,T,2,,
Pellom McDaniels,OLB,2.166666667,,
Aaron Fields,DE,0,,
Derrick Ham,DE,0,,
Andy Bowers,DE,0,,
Victor Green,S,6.333333333,,
Charlie Adams,WR,1.333333333,,
Anthony Herron,DE,0,,
Felipe Claybrooks,DE,0,,
Hans Olsen,DT,0,,
Jeff Hazuga,DE,0,,
Joe Brown,DT,0,,
Bernard Jackson,DE,0,,
Chris Demaree,DE,0,,
DeVone Claybrooks,DT,0,,
Giradie Mercer,DT,0,,
Jerome Davis,T,0,,
DelJuan Robinson,CB,2.5,,
Ron Smith,DT,0,,
Terrance Simmons,DT,0,,
Allen Reese,DT,0,,
Anthony Dunn,DE,0,,
Brandon Hicks,DT,0,,
Jermaine Brooks,DT,0,,
Matt Leonard,DT,0,,
Omari Hand,DE,0,,
Ron Johnson,DE,0,,
Alain Kashama,DE,0,,
Aaron Francisco,S,1.833333333,,
Corey Jackson,DE,0,,
Jason Stewart,DT,0,,
Josh Savage,DE,0,,
Junior Glymph,DE,0,,
Khaleed Vaughn,DE,0,,
Omari Jordan,DT,0,,
Robert Pollard,DE,0,,
Aki Jones,DE,0,,
Alfred Malone,DT,0,,
Constantin Ritzmann,DE,0,,
Dimitri Patterson,CB,1.75,,
Jeremy Calahan,DT,0,,
Jim Davis,DE,0,,
Manuel Wright,DT,0,,
Matt McChesney,G,0,,
A.J. Schable,DE,0,,
Antwon Burton,DT,0,,
Joe Sykes,DE,0,,
Khreem Smith,DE,0,,
Marcus Green,DT,0,,
Montez Murphy,DE,0,,
Paul Oliver,S,2.25,,
T.J. Jackson,DT,0,,
Conrad Bolston,DT,0,,
Derrick Jones,DE,0,,
Edgar Jones,TE,0.428571429,,
Eric Powell,DE,0,,
McKinley Boykin,DT,0,,
Steven Harris,DT,0,,
Brandon Miller,DE,0,,
Corey Mace,DT,0,,
Derek Lokey,DT,0,,
A.J. Jefferson,CB,2,,
Greyson Gunheim,DE,0,,
Jeremy Clark,DT,0,,
Jesse Nading,DE,0.4,,
Keith Grennan,DE,0,,
Mkristo Bruce,DE,0,,
Scott Paxson,DT,0,,
Andre Coleman,DE,0,,
Dion Gales,DE,0,,
Eric Bakhtiari,DE,0,,
Jason Banks,DE,0,,
David Caldwell,S,4,,
Jeremy Navarre,DE,0,,
John Gill,DT,0,,
Keilen Dykes,DT,0,,
Kelly Talavou,DT,0,,
Kenwin Cummings,DE,0,,
Barry Turner,DE,0,,
Jimmy Saddler-McQueen,DT,0,,
Joe Joseph,DT,0,,
Lamar Divens,DT,0,,
Mitch King,DT,0,,
Danny McCray,S,1.5,,
Travis Ivey,DE,0,,
Alex Silvestro,DE,0,,
Dwayne Hendricks,DT,0,,
Mason Brodine,DE,0,,
Adewale Ojomo,DE,0,,
Aston Whiteside,DE,0,,
Ben Bass,DT,0,,
Braylon Broughton,DE,0,,
Bryan Hall,ILB,0,,
Chas Alecxih,DT,0,,
Leonard Johnson,CB,2.2,,
Chase Baker,DT,0,,
DaJohn Harris,DT,0,,
Damik Scafe,DE,0,,
David Hunter,DE,0,,
Dominique Hamilton,DT,0,,
Drew Nowak,G,1.333333333,,
Ernest Owusu,DE,0,,
Everrette Thompson,DE,0,,
Hebron Fangupo,DT,0,,
Ike Igbinosun,DT,0,,
Brandian Ross,CB,3,,
Jordan Miller,DT,0,,
Keith Browner,DE,0,,
Kourtnei Brown,DE,0,,
Martin Parker,DT,0,,
Matt Broha,DE,0,,
Matthew Masifilo,DT,0,,
Micanor Regis,DT,0,,
Monte Taylor,DE,0,,
Pannel Egboh,DE,0,,
Rob Callaway,DT,0,,
Ryan Clark,S,5.692307692,,
Nickell Robey-Coleman,CB,2.5,,
Ronnie Cameron,DT,0,,
Tevita Finau,DT,0,,
Brian Arnfelt,DE,0,,
Caesar Rayford,DE,0,,
Christian Tupou,DT,0,,
Gerald Rivers,DE,0,,
Isaako Aaitui,DT,0,,
Jason Vega,DE,0,,
Jay Ross,DT,0,,
Kwame Geathers,DT,0,,
Sergio Brown,S,1.571428571,,
Michael Brooks,DT,0,,
Tracy Robertson,DT,0,,
Zach Minter,DT,0,,
Deandre Coleman,DT,0,,
George Uko,DE,0,,
Kelcy Quarles,DT,0,,
Kenneth Boatright,DE,0,,
