m.year,player.id,player.name,m.team_id,m.position_id,m.age,m.av_value,m.year,m.round,m.pick,m.base_salary,m.cap_hit,m.dead_cap
1994,00002403,"Steve Young",SFO,QB,33,23,1994,,,,,
1994,198516,"Jerry Rice",SFO,WR,32,21,1994,1,16,2000000,2380000,0
1994,19893,"Barry Sanders",DET,RB,26,20,1994,1,3,2575000,3080000,0
1994,199145,"Ricky Watters",SFO,RB,25,19,1994,2,45,,,
1994,199159,"Aeneas Williams",ARI,CB,26,18,1994,3,59,750000,1200000,0
1994,19912,"Eric Turner",CLE,S,26,18,1994,1,2,1000000,1812500,0
1994,198710,"Rod Woodson",PIT,S,29,18,1994,1,10,,,
1994,1987150,"Greg Lloyd",PIT,OLB,29,18,1994,6,150,,,
1994,1985113,"Kevin Greene",PIT,OLB,32,18,1994,5,113,,,
1994,199017,"Emmitt Smith",DAL,RB,25,17,1994,1,17,2200000,3200000,0
1994,198696,"Charles Haley",DAL,DE,30,16,1994,4,96,,,
1994,19903,"Cortez Kennedy",SEA,DT,26,16,1994,1,3,850000,1758333,0
1994,0000771,"John Randle",MIN,DT,27,16,1994,,,,,
1994,19909,"Richmond Webb",MIA,T,27,16,1994,1,9,550000,1230000,0
1994,199133,"Brett Favre",GNB,QB,25,16,1994,2,33,1600000,2615000,0
1994,19942,"Marshall Faulk",IND,RB,21,16,1994,1,2,986000,1714571,0
1994,198850,"Michael Dean Perry",CLE,DT,29,15,1994,2,50,,,
1994,19905,"Junior Seau",LAC,OLB,25,15,1994,1,5,2025000,2935000,0
1994,198327,"Dan Marino",MIA,QB,33,15,1994,1,27,2600000,3183333,0
1994,198811,"Michael Irvin",DAL,WR,28,15,1994,1,11,1250000,1450000,0
1994,199237,"Darren Woodson",DAL,S,25,14,1994,2,37,358000,568500,0
1994,19895,"Deion Sanders",SFO,CB,27,14,1994,1,5,1134000,1134000,0
1994,19851,"Bruce Smith",BUF,DE,31,14,1994,1,1,2800000,3050000,0
1994,0000768,"Reggie White",GNB,DE,33,14,1994,,,,,
1994,1990129,"Rob Burnett",CLE,DE,27,14,1994,5,129,,,
1994,00001755,"Bart Oates",SFO,C,36,14,1994,,,,,
1994,00001753,"Nate Newton",DAL,G,33,14,1994,,,,,
1994,19938,"Willie Roaf",NOR,T,24,14,1994,1,8,,,
1994,199089,"Chris Warren",SEA,RB,26,14,1994,4,89,,,
1994,198586,"Andre Reed",BUF,WR,30,14,1994,4,86,1185000,1351666,0
1994,199110,"Herman Moore",DET,WR,25,14,1994,1,10,1200000,1200000,0
1994,19889,"Terry McDaniel",OAK,CB,29,13,1994,1,9,,,
1994,199216,"Chester McGlockton",OAK,DT,25,13,1994,1,16,,,
1994,19868,"Leslie O'Neal",LAC,DE,30,13,1994,1,8,,,
1994,19894,"Derrick Thomas",KAN,OLB,27,13,1994,1,4,,,
1994,198651,"Pepper Johnson",CLE,ILB,30,13,1994,2,51,,,
1994,198844,"Dermontti Dawson",PIT,C,29,13,1994,2,44,,,
1994,199039,"Keith Sims",MIA,G,27,13,1994,2,39,,,
1994,19856,"Lomas Brown",DET,T,31,13,1994,1,6,,,
1994,19931,"Drew Bledsoe",NWE,QB,22,13,1994,1,1,1281250,2031250,0
1994,199341,"Natrone Means",LAC,RB,22,13,1994,2,41,,,
1994,0000775,"William Fuller",PHI,DE,32,12,1994,,,,,
1994,1990159,"Bryce Paup",GNB,OLB,26,12,1994,6,159,,,
1994,1986208,"Seth Joyner",ARI,S,30,12,1994,8,208,,,
1994,1983289,"Jesse Sapolu",SFO,G,33,12,1994,11,289,,,
1994,198957,"Mark Stepnoski",DAL,C,27,12,1994,3,57,,,
1994,198819,"Randall McDaniel",MIN,G,30,12,1994,1,19,,,
