Pick,Estimate
1,30566250
2,29178790
3,28295878
4,27286806
5,25520944
6,22367629
7,19844976
8,17322323
9,17196047
10,16502457
11,15430339
12,13916735
13,13538340
14,12907678
15,12655428
16,11898614
17,11646348
18,11331021
19,11141816
20,11078755
21,11015687
22,10889550
23,10763421
24,10511154
25,10385025
26,10258873
27,10132759
28,10069691
29,9563615
30,9295615
31,9071121
32,8926572
33,7105574
34,7042506
35,6979437
36,6853308
37,6802856
38,6689321
39,6575816
40,6474905
41,6374002
42,6260481
43,6159578
44,6063428
45,5928757
46,5783698
47,5591978
48,5465848
49,5339704
50,5213582
51,5087453
52,4961316
53,4835187
54,4709050
55,4582921
56,4519852
57,4482010
58,4418949
59,4330655
60,4292812
61,4242361
62,4204518
63,4191909
64,4166683
65,3905753
66,3881953
67,3868505
68,3852038
69,3830703
70,3793615
71,3768627
72,3748578
73,3720374
74,3704310
75,3684055
76,3637943
77,3625957
78,3411268
79,3589054
80,3562971
81,3358654
82,3332456
83,3491231
84,3469135
85,3453290
86,3276778
87,3407712
88,3169781
89,3382934
90,3370011
91,3361028
92,3347600
93,3324735
94,3241500
95,3287014
96,3264359
97,3186747
98,3186747
99,3186747
100,3181736
101,3181736
102,3181736
103,3181736
104,3181736
105,3181736
106,3181736
107,3181736
108,3052347
109,3036874
110,3034663
111,3030488
112,3024247
113,3020638
114,3018197
115,3014779
116,3010991
117,3006372
118,2995423
119,2993941
120,2991416
121,2990787
122,2987628
123,2979630
124,2977077
125,2971240
126,2965129
127,2961239
128,2957322
129,2944425
130,2944425
131,2933835
132,2926893
133,2923885
134,2916977
135,2912128
136,2904288
137,2896083
138,2776729
139,2776729
140,2776729
141,2776729
142,2776729
143,2776729
144,2776729
145,2657371
146,2654705
147,2652443
148,2651113
149,2645288
150,2638373
151,2636308
152,2634204
153,2633502
154,2632801
155,2627823
156,2625505
157,2624382
158,2624034
159,2623400
160,2623204
161,2621649
162,2620005
163,2617721
164,2617002
165,2614561
166,2613428
167,2610947
168,2609864
169,2605486
170,2602635
171,2595592
172,2591916
173,2586220
174,2583414
175,2579906
176,2557822
177,2557822
178,2557822
179,2557822
180,2557822
181,2557822
182,2557822
183,2557822
184,2557822
185,2535739
186,2530542
187,2527713
188,2524206
189,2520463
190,2517454
191,2515541
192,2514177
193,2512140
194,2510035
195,2509418
196,2506067
197,2504002
198,2503441
199,2502751
200,2502111
201,2501224
202,2501016
203,2500725
204,2500618
205,2499726
206,2498390
207,2497649
208,2495724
209,2493754
210,2491700
211,2490533
212,2486958
213,2484797
214,2482676
215,2478792
216,2465391
217,2465391
218,2465391
219,2451983
220,2451669
221,2449705
222,2448953
223,2446405
224,2444418
225,2443009
226,2442617
227,2442336
228,2441736
229,2440024
230,2439541
231,2439530
232,2438374
233,2438340
234,2438026
235,2436163
236,2434760
237,2433503
238,2430219
239,2427105
240,2426386
241,2425646
242,2424905
243,2424355
244,2423749
245,2423187
246,2422626
247,2421773
248,2421150
249,2420258
250,2419394
251,2419394
252,2419394
253,2419394
