year,team,player,position,birthdate,college
1978,LAR,Larry Brooks,DT,6/10/1950,Virginia State  
1978,LAR,Eddie Brown,DB,2/19/1952,Tennessee  
1978,LAR,Bob Brudzinski,LB,1/1/1955,Ohio State  
1978,LAR,Cullen Bryant,RB,5/20/1951,Colorado  
1978,LAR,John Cappelletti,RB,8/9/1952,Penn State  
1978,LAR,Frank Corral,K,6/16/1955,UCLA  
1978,LAR,Nolan Cromwell,DB,1/30/1955,Kansas  
1978,LAR,Anthony Davis,RB,9/8/1952,Southern California  
1978,LAR,Preston Dennard,WR,11/28/1955,New Mexico
1978,LAR,Reggie Doss,DE,12/7/1956,Hampton  
1978,LAR,Fred Dryer,DE,7/6/1946,San Diego State  
1978,LAR,Carl Ekern,LB,5/27/1954,San Jose State  
1978,LAR,Dave Elmendorf,DB,6/20/1949,Texas A&M  
1978,LAR,Mike Fanning,DT,2/2/1953,Notre Dame  
1978,LAR,Vince Ferragamo,QB,4/24/1954,Nebraska  
1978,LAR,Doug France,OT,4/26/1953,Ohio State  
1978,LAR,Ed Fulton,OG,1/27/1955,Maryland  
1978,LAR,Pat Haden,QB,1/23/1953,Southern California  
1978,LAR,Dennis Harrah,OG,3/9/1953,Miami  
1978,LAR,Greg Horton,OG,1/7/1951,Colorado  
1978,LAR,Ron Jessie,WR,2/4/1948,Kansas  
1978,LAR,Jim Jodat,RB,3/3/1954,Carthage  
1978,LAR,Cody Jones,DE,5/3/1951,San Jose State  
1978,LAR,Jerry Latin,RB,8/25/1953,Northern Illinois  
1978,LAR,Tom Mack,OG,11/1/1943,Michigan  
1978,LAR,Larry Marshall,DB,3/2/1950,Maryland  
1978,LAR,Lawrence McCutcheon,RB,6/2/1950,Colorado State  
1978,LAR,Kevin McLain,LB,9/15/1954,Colorado State  
1978,LAR,Willie Miller,WR,4/26/1947,Colorado State  
1978,LAR,Terry Nelson,TE,5/20/1951,Arkansas-Pine Bluff  
1978,LAR,Dwayne O'Steen,DB,12/20/1954,San Jose State  
1978,LAR,Rod Perry,DB,9/11/1953,Colorado  
1978,LAR,Rod Phillips,RB,12/23/1952,Jackson State  
1978,LAR,Jack Reynolds,LB,11/22/1947,Tennessee  
1978,LAR,Isiah Robertson,LB,8/17/1949,Southern  
1978,LAR,Dan Ryczek,C,8/24/1949,Virginia  
1978,LAR,Rich Saul,C,2/5/1948,Michigan State  
1978,LAR,Dwight Scales,WR,5/30/1953,Grambling  
1978,LAR,Bill Simpson,DB,12/5/1951,Michigan State  
1978,LAR,Jackie Slater,OT,5/27/1954,Jackson State  
1978,LAR,Doug Smith,C,11/25/1956,Bowling Green  
1978,LAR,Ron Smith,WR,11/20/1956,San Diego State  
1978,LAR,Pat Thomas,DB,9/1/1954,Texas A&M  
1978,LAR,Wendell Tyler,RB,5/20/1955,UCLA  
1978,LAR,Billy Waddy,WR,2/19/1954,Colorado  
1978,LAR,Glen Walker,P,1/16/1952,Southern California  
1978,LAR,Jackie Wallace,DB,3/13/1951,Arizona  
1978,LAR,John Williams,OT,10/27/1945,Minnesota  
1978,LAR,Charle Young,TE,2/5/1951,Southern California  
1978,LAR,Jack Youngblood,DE,1/26/1950,Florida  
1978,LAR,Jim Youngblood,LB,2/23/1950,Tennessee Tech  
1978,TEN,Willie Alexander,DB,9/21/1949,Alcorn State  
1978,TEN,Mike Barber,TE,6/4/1953,Louisiana Tech  
1978,TEN,Steve Baumgartner,DE,3/26/1951,Purdue  
1978,TEN,Elvin Bethea,DE,3/1/1946,North Carolina A&T  
1978,TEN,Gregg Bingham,LB,3/13/1951,Purdue  
1978,TEN,Robert Brazile,LB,2/7/1953,Jackson State  
1978,TEN,Ken Burrough,WR,7/14/1948,Texas Southern  
1978,TEN,Earl Campbell,RB,3/29/1955,Texas  
1978,TEN,Rob Carpenter,RB,4/20/1955,Miami (OH)  
1978,TEN,David Carter,C,11/27/1953,Western Kentucky  
1978,TEN,Rich Caster,TE,10/16/1948,Jackson State  
1978,TEN,Ronnie Coleman,RB,7/9/1951,Alabama A&M  
1978,TEN,Curley Culp,DT,3/10/1946,Arizona State  
1978,TEN,Bill Currier,DB,1/5/1955,South Carolina  
1978,TEN,Anthony Davis,RB,9/8/1952,Southern California  
1978,TEN,Jimmy Dean,DE,1/8/1955,Texas A&M  
1978,TEN,Johnnie Dirden,WR,3/14/1952,Sam Houston State  
1978,TEN,Andy Dorris,DE,8/11/1951,New Mexico State  
1978,TEN,Brian Duncan,RB,3/31/1952,Southern Methodist  
1978,TEN,Ed Fisher,OG,5/31/1949,Arizona State  
1978,TEN,Toni Fritsch,K,7/10/1945,  
1978,TEN,Conway Hayman,OG,1/9/1949,Delaware  
1978,TEN,Al Johnson,RB,6/17/1950,Cincinnati  
1978,TEN,Billy Johnson,WR,1/21/1952,Widener  
1978,TEN,Ken Kennard,DT,10/4/1954,Angelo State  
1978,TEN,Steve Kiner,LB,6/12/1947,Tennessee  
1978,TEN,Kurt Knoff,DB,4/6/1954,Kansas  
1978,TEN,Carl Mauck,C,7/7/1947,Southern Illinois  
1978,TEN,Alvin Maxson,RB,11/12/1951,Southern Methodist  
1978,TEN,Guido Merkens,QB,8/14/1955,Sam Houston State  
1978,TEN,Gifford Nielsen,QB,10/25/1954,Brigham Young  
1978,TEN,Cliff Parsley,P,12/26/1954,Oklahoma State  
1978,TEN,Dan Pastorini,QB,5/26/1949,Santa Clara  
1978,TEN,Larry Poole,RB,7/31/1952,Kent State  
1978,TEN,George Reihner,OG,4/27/1955,Penn State  
1978,TEN,Mike Reinfeldt,DB,5/6/1953,Wisconsin-Milwaukee  
1978,TEN,Mike Renfro,WR,6/19/1955,Texas Christian  
1978,TEN,Conrad Rucker,TE,11/15/1954,Southern  
1978,TEN,Greg Sampson,OT,10/25/1950,Stanford  
1978,TEN,John Schuhmacher,OG,9/23/1955,Southern California  
1978,TEN,Greg Stemrick,DB,10/25/1951,Colorado State  
1978,TEN,Art Stringer,LB,1/30/1954,Ball State  
1978,TEN,Ted Thompson,LB,1/17/1953,Southern Methodist  
1978,TEN,Morris Towns,OT,1/10/1954,Missouri  
1978,TEN,Robert Turner,RB,3/6/1954,Oklahoma State  
1978,TEN,Ted Washington,LB,2/16/1948,Mississippi Valley State  
1978,TEN,C.L. Whittington,DB,8/1/1952,Prairie View A&M  
1978,TEN,J.C. Wilson,DB,3/11/1956,Pittsburgh  
1978,TEN,Tim Wilson,RB,1/14/1954,Maryland  
1978,TEN,Robert Woods,WR,7/3/1955,Grambling  
1978,TEN,Jim Young,DE,7/8/1950,Texas Southern  
1978,LAC,Charles Aiu,OG,5/22/1954,Hawaii  
1978,LAC,Rickey Anderson,RB,3/21/1953,South Carolina State  
1978,LAC,Dan Audick,OT,11/15/1954,Hawaii  
1978,LAC,Larry Barnes,RB,7/17/1954,Tennessee State  
1978,LAC,Hank Bauer,RB,7/15/1954,California Lutheran  
1978,LAC,Rolf Benirschke,K,2/7/1955,California-Davis  
1978,LAC,Larry Burton,WR,12/15/1951,Purdue  
1978,LAC,Pat Curran,TE,9/21/1945,Lakeland  
1978,LAC,Fred Dean,DE,2/24/1952,Louisiana Tech  
1978,LAC,Charles DeJurnett,DT,6/17/1952,San Jose State  
1978,LAC,Jerome Dove,DB,10/3/1953,Colorado State  
1978,LAC,Glen Edwards,DB,7/31/1947,Florida A&M  
1978,LAC,Dan Fouts,QB,6/10/1951,Oregon  
1978,LAC,Mike Fuller,DB,4/7/1953,Auburn  
1978,LAC,Don Goode,LB,6/21/1951,Kansas  
1978,LAC,Buddy Hardaway,OT,12/12/1954,Oklahoma State  
1978,LAC,James Harris,QB,7/20/1947,Grambling  
1978,LAC,Bob Horn,LB,2/6/1954,Oregon State  
1978,LAC,John Jefferson,WR,2/3/1956,Arizona State  
1978,LAC,Gary Johnson,DT,8/31/1952,Grambling  
1978,LAC,Charlie Joiner,WR,10/14/1947,Grambling  
1978,LAC,Leroy Jones,DE,9/29/1950,Norfolk State  
1978,LAC,Louie Kelcher,DT,8/23/1953,Southern Methodist  
1978,LAC,Linden King,LB,6/28/1955,Colorado State  
1978,LAC,Bob Klein,TE,7/27/1947,Southern California  
1978,LAC,Jim Laslavic,LB,10/24/1951,Penn State  
1978,LAC,John Lee,DE,2/17/1953,Nebraska  
1978,LAC,Woodrow Lowe,LB,6/9/1954,Alabama  
1978,LAC,Don Macek,C,7/21/1954,Boston College  
1978,LAC,Bo Matthews,RB,11/15/1951,Colorado  
1978,LAC,Greg McCrary,TE,3/24/1952,Clark Atlanta  
1978,LAC,Dwight McDonald,WR,5/24/1951,San Diego State  
1978,LAC,Rick Middleton,LB,11/28/1951,Ohio State  
1978,LAC,Lydell Mitchell,RB,5/30/1949,Penn State  
1978,LAC,Cliff Olander,QB,5/15/1955,New Mexico State  
1978,LAC,Artie Owens,RB,1/14/1953,West Virginia  
1978,LAC,Ralph Perretta,C,1/30/1953,Purdue  
1978,LAC,Ray Preston,LB,1/25/1954,Syracuse  
1978,LAC,Johnny Rodgers,WR,7/5/1951,Nebraska  
1978,LAC,Pete Shaw,DB,8/25/1954,Northwestern  
1978,LAC,Billy Shields,OT,8/23/1953,Georgia Tech  
1978,LAC,Mark Slater,C,2/1/1955,Minnesota  
1978,LAC,Hal Stringert,DB,1/2/1952,Willamette  
1978,LAC,Russ Washington,OT,12/17/1946,Missouri  
1978,LAC,Jeff West,P,4/6/1953,Cincinnati  
1978,LAC,Ed White,OG,4/4/1947,California  
1978,LAC,Doug Wilkerson,OG,3/27/1947,North Carolina Central  
1978,LAC,Clarence Williams,RB,1/25/1955,South Carolina  
1978,LAC,Mike Williams,DB,11/22/1953,Louisiana State  
1978,LAC,Don Woods,RB,2/17/1951,New Mexico  
1978,LAC,Wilbur Young,DE,4/20/1949,William Penn  
1978,ARI,Carl Allen,DB,12/21/1955,Southern Mississippi  
1978,ARI,Kurt Allerman,LB,8/30/1955,Penn State  
1978,ARI,Warren Anderson,WR,7/3/1955,West Virginia State  
1978,ARI,Mark Arneson,LB,9/9/1949,Arizona  
1978,ARI,Jim Bakken,K,11/2/1940,Wisconsin  
1978,ARI,Tom Banks,C,8/20/1948,Auburn  
1978,ARI,John Barefield,LB,3/23/1955,Texas A&M-Kingsville  
1978,ARI,Larry Barnes,RB,7/17/1954,Tennessee State  
1978,ARI,Bob Bell,DT,1/25/1948,Cincinnati  
1978,ARI,Gordon Bell,RB,12/25/1953,Michigan  
1978,ARI,Tom Brahaney,C,10/23/1951,Oklahoma  
1978,ARI,Al Chandler,TE,11/18/1950,Oklahoma  
1978,ARI,Jimmy Childs,WR,8/9/1956,Cal Poly-S.L.O.  
1978,ARI,George Collins,OG,12/9/1955,Georgia  
1978,ARI,Charles Davis,DT,11/17/1951,Texas Christian  
1978,ARI,Mike Dawson,DT,10/16/1953,Arizona  
1978,ARI,Dan Dierdorf,OT,6/29/1949,Michigan  
1978,ARI,Teddy Farmer,RB,9/8/1953,Oregon  
1978,ARI,Roger Finnie,OT,11/6/1945,Florida A&M  
1978,ARI,Randy Gill,LB,8/1/1956,San Jose State  
1978,ARI,Mel Gray,WR,9/28/1948,Missouri  
1978,ARI,Doug Greene,DB,2/10/1956,Texas A&M-Kingsville  
1978,ARI,Ken Greene,DB,5/8/1956,Washington State  
1978,ARI,Willard Harrell,RB,9/16/1952,Pacific  
1978,ARI,Jim Hart,QB,4/29/1944,Southern Illinois  
1978,ARI,Steve Jones,RB,3/6/1951,Duke  
1978,ARI,Tim Kearney,LB,11/5/1950,Northern Michigan  
1978,ARI,Jerry Latin,RB,8/25/1953,Northern Illinois  
1978,ARI,Steve Little,P,2/19/1956,Arkansas  
1978,ARI,Mark Manges,QB,1/10/1956,Maryland  
1978,ARI,Wayne Morris,RB,5/3/1954,Southern Methodist  
1978,ARI,Tom Mullen,OG,11/11/1951,Southwest Missouri State  
1978,ARI,Steve Neils,LB,5/2/1951,Minnesota  
1978,ARI,Lee Nelson,DB,1/30/1954,Florida State  
1978,ARI,Jim Otis,RB,4/29/1948,Ohio State  
1978,ARI,Steve Pisarkiewicz,QB,11/10/1953,Missouri  
1978,ARI,Bob Pollard,DT,12/30/1948,Weber State  
1978,ARI,Eason Ramson,TE,4/30/1956,Washington State  
1978,ARI,Mike Sensibaugh,DB,1/3/1949,Ohio State  
1978,ARI,Willie Shelby,RB,7/24/1953,Alabama  
1978,ARI,Keith Simons,DT,4/26/1954,Minnesota  
1978,ARI,Perry Smith,DB,3/29/1951,Colorado State  
1978,ARI,Tommy Southard,WR,6/29/1955,Furman  
1978,ARI,Dave Stief,WR,1/29/1956,Portland State  
1978,ARI,Terry Stieve,OG,3/10/1954,Wisconsin  
1978,ARI,Ken Stone,DB,9/14/1950,Vanderbilt  
1978,ARI,Jim Thaxton,TE,1/11/1949,Tennessee State  
