"year","team","player","position","base_salary","signing_bonus","roster_bonus","option_bonus","workout_bonus","restructured_bonus","dead_cap","cap_hit","cap_percentage"
"1994","HOU","Lamar Lathon","LB","400000","200000","0","0","0","0","0","600000","100.0"
"1994","STL","Todd Lyght","CB","700000","470000","0","0","0","0","0","1170000","39.51"
"1994","STL","Jerome Bettis","RB","442000","400000","0","0","0","0","0","843750","28.49"
"1994","STL","Bern Brostek","C","355000","175000","0","0","0","0","0","530000","17.9"
"1994","STL","Issac Bruce","WR","117500","0","300000","0","0","0","0","417500","14.1"
"1994","SDG","Junior Seau","LB","2025000","860000","50000","0","0","0","0","2935000","79.0"
"1994","SDG","Stanley Richard","S","649000","0","0","0","0","0","0","649000","17.47"
"1994","SDG","Rodney Harrison","S","110000","15000","6000","0","0","0","0","131000","3.53"
"1994","ARI","Steve Beuerlein","QB","2000000","333333","0","0","0","0","0","2833333","45.52"
"1994","ARI","Aeneas Williams","CB","750000","450000","0","0","0","0","0","1200000","19.28"
"1994","ARI","James Williams","CB","725000","0","0","0","0","0","0","725000","11.65"
"1994","ARI","Vinnie Clark","CB","450000","0","40000","0","0","0","0","490000","7.87"
"1994","ARI","Brent Alexander","S","108000","0","0","0","0","0","0","108000","1.74"
"1994","ARI","Rich Braham","C","47647","0","0","0","0","0","0","47647","0.77"
"1994","ATL","Jeff George","QB","2250000","0","0","0","0","0","0","2250000","44.76"
"1994","ATL","Andre Rison","WR","647589","500000","150000","0","0","0","0","1297589","25.81"
"1994","ATL","Jamal Anderson","RB","108000","11500","0","0","0","0","0","119500","2.38"
"1994","BUF","Jim Kelly","QB","2800000","375000","0","0","100000","0","0","3275000","28.02"
"1994","BUF","Bruce Smith","DE","2800000","250000","0","0","0","0","0","3050000","26.1"
"1994","BUF","Thurman Thomas","RB","2800000","0","0","0","0","0","0","2800000","23.96"
"1994","BUF","Andre Reed","WR","1185000","166666","0","0","0","0","0","1351666","11.57"
"1994","BUF","Henry Jones","S","390000","175000","0","0","0","0","0","590000","5.05"
"1994","BUF","Phil Hansen","DE","162000","333333","0","0","0","0","0","495333","4.24"
"1994","CHI","Mark Carrier","S","550000","300000","0","0","0","0","0","850000","58.62"
"1994","CHI","Steve Walsh","QB","600000","0","0","0","0","0","0","600000","41.38"
"1994","CIN","James Francis","LB","500000","220000","0","0","0","0","0","720000","48.58"
"1994","CIN","Steve Broussard","RB","600000","0","0","0","0","0","0","600000","40.49"
"1994","CIN","Jeff Blake","QB","162000","0","0","0","0","0","0","162000","10.93"
"1994","CLE","Eric Turner","S","1000000","787500","0","0","0","0","0","1812500","65.02"
"1994","CLE","Mark Rypien","QB","800000","175000","0","0","0","0","0","975000","34.98"
"1994","DAL","Troy  Aikman","QB","1750000","1489584","0","0","0","0","0","3239584","27.94"
"1994","DAL","Emmitt Smith","RB","2200000","1000000","0","0","0","0","0","3200000","27.6"
"1994","DAL","Russell Maryland","DT","950000","720000","0","0","0","0","0","1720000","14.83"
"1994","DAL","Michael Irvin","WR","1250000","0","0","0","0","0","0","1450000","12.5"
"1994","DAL","Alvin Harper","WR","868000","0","0","0","0","0","0","868000","7.49"
"1994","DAL","Darren Woodson","S","358000","100000","0","0","0","0","0","568500","4.9"
"1994","DAL","Blair Thomas","RB","550000","0","0","0","0","0","0","550000","4.74"
"1994","DEN","John Elway","QB","3000000","1500000","0","0","0","0","0","4500000","46.08"
"1994","DEN","Anthony Miller","WR","1000000","600000","0","0","0","0","0","1600000","16.38"
"1994","DEN","Shannon Sharpe","TE","700000","100000","0","0","0","0","0","810000","8.29"
"1994","DEN","Mike Croel","LB","218750","520000","0","0","0","0","0","738750","7.56"
"1994","DEN","Ben Smith","CB","700000","0","0","0","0","0","0","700000","7.17"
"1994","DEN","Mike Pritchard","WR","200000","500000","0","0","0","0","0","700000","7.17"
"1994","DEN","Ted Washington","DT","338000","0","50000","0","0","0","0","476000","4.87"
"1994","DEN","Ronnie Bradford","CB","180000","0","0","0","0","0","0","180000","1.84"
"1994","DET","Barry Sanders","RB","2575000","0","400000","105000","0","0","0","3080000","71.96"
"1994","DET","Herman Moore","WR","1200000","0","0","0","0","0","0","1200000","28.04"
"1994","GNB","Brett Favre","QB","1600000","515000","500000","0","0","0","0","2615000","89.63"
"1994","GNB","Darrell Thompson","RB","300000","0","0","0","0","0","0","300000","10.28"
"1994","IND","Tony Bennett","LB","2200000","750000","0","0","0","0","0","2950000","63.24"
"1994","IND","Marshall Faulk","RB","986000","728571","0","0","0","0","0","1714571","36.76"
"1994","KAN","Marcus Allen","RB","1100000","83333","0","0","0","0","0","1248333","83.31"
"1994","MIA","Dan Marino","QB","2600000","583333","0","0","0","0","0","3183333","51.76"
"1994","MIA","JB Brown","CB","936647","325000","0","0","0","0","0","1261647","20.51"
"1994","MIA","Richmond Webb","T","550000","645000","0","0","0","0","0","1230000","20.0"
"1994","MIA","Chris Singleton","LB","475000","0","0","0","0","0","0","475000","7.72"
"1994","MIN","Cris Carter","WR","1295000","180000","0","0","0","0","0","2075000","40.41"
"1994","MIN","Terry Allen","RB","880000","125000","0","0","0","0","0","1255000","24.44"
"1994","MIN","Terry Allen","RB","880000","125000","250000","0","0","0","0","1255000","24.44"
"1994","MIN","Qadry Ismail","WR","140781","109375","100000","0","0","0","0","350156","6.82"
"1994","MIN","Brad Johnson","QB","200000","0","0","0","0","0","0","200000","3.89"
"1994","NEW","Drew Bledsoe","QB","1281250","750000","0","0","0","0","0","2031250","34.83"
"1994","NEW","Pat Harlow","T","1400000","250000","0","0","0","0","0","1650000","28.3"
"1994","NEW","Willie McGinest","LB","525000","825000","0","0","0","0","0","1350000","23.15"
"1994","NEW","Ray Agnew","DT","560000","200000","0","0","40000","0","0","800000","13.72"
"1994","NOR","Renaldo Turnbull","LB","1750000","650000","0","0","0","0","0","2400000","90.81"
"1994","NOR","Torrance Small","WR","162000","0","81000","0","0","0","0","243000","9.19"
"1994","NYG","Rodney Hampton","RB","1875000","400000","0","0","0","0","0","2275000","43.58"
"1994","NYG","Dave Brown","QB","850000","400000","0","0","0","0","0","1250000","23.95"
"1994","NYG","Derek Brown","TE","625000","387500","20000","0","0","0","0","1032500","19.78"
"1994","NYG","Michael Strahan","DE","212500","150000","0","0","0","0","0","362500","6.94"
"1994","NYG","John Booty","CB","275000","0","25000","0","0","0","0","300000","5.75"
"1994","OAK","Tim Brown","WR","2000000","750000","0","0","0","0","0","2750000","44.19"
"1994","OAK","Anthony Smith","DE","1400000","0","0","0","0","0","0","1400000","22.5"
"1994","OAK","Rocket Ismail","WR","1200000","0","0","0","0","0","0","1200000","19.28"
"1994","OAK","Jarrod Bunch","FB","473000","0","0","0","0","0","0","473000","7.6"
"1994","OAK","Harvey Williams","RB","250000","0","150000","0","0","0","0","400000","6.43"
"1994","OAK","Billy Joe  Hobert","QB","0","0","0","0","0","0","0","0","0.0"
"1994","PIT","Eric Green","TE","1434000","0","0","0","0","0","0","1434000","58.32"
"1994","PIT","Leon Searcy","T","650000","375000","0","0","0","0","0","1025000","41.68"
"1994","SFO","Jerry Rice","WR","2000000","380000","0","0","0","0","0","2380000","54.45"
"1994","SFO","Deion Sanders","CB","1134000","0","0","0","0","0","0","1134000","25.95"
"1994","SFO","Dexter Carter","RB","450000","163000","25000","0","0","0","0","638000","14.6"
"1994","SEA","Cortez Kennedy","DT","850000","708333","0","0","200000","0","0","1758333","100.0"
"1994","TAM","Trent Dilfer","QB","800000","562500","0","0","0","0","0","1362500","49.78"
"1994","TAM","Charles McRae","T","625000","400000","25000","0","40000","0","0","1090000","39.82"
"1994","TAM","John Lynch","S","204750","80000","0","0","0","0","0","284750","10.4"
"1994","TEN","Ernest Givins","WR","1433333","66666","0","0","0","0","0","1499999","89.39"
"1994","TEN","Keith McCants","LB","178000","0","0","0","0","0","0","178000","10.61"
"1995","STL","Bern Brostek","C","1000000","400000","0","0","200","0","0","1400200","28.15"
"1995","STL","Todd Lyght","CB","900000","470000","0","0","0","0","0","1370000","27.54"
"1995","STL","Jerome Bettis","RB","531000","400000","0","0","0","0","0","932500","18.75"
"1995","STL","Mark Rypien","QB","375000","375000","0","0","0","0","0","750000","15.08"
"1995","STL","Issac Bruce","WR","221875","0","300000","0","0","0","0","521875","10.49"
"1995","SDG","Junior Seau","LB","2825000","500000","0","0","0","0","0","3325000","95.16"
"1995","SDG","Rodney Harrison","S","149000","15000","5000","0","0","0","0","169000","4.84"
"1995","ARI","Aeneas Williams","CB","1350000","450000","0","0","0","0","0","1800000","41.58"
"1995","ARI","Brent Alexander","S","250000","31666","0","0","0","0","0","281666","6.51"
"1995","ARI","Ben Smith","CB","178000","0","0","0","0","0","0","178000","4.11"
"1995","ATL","Jeff George","QB","2750000","0","0","0","0","0","0","2750000","94.49"
"1995","ATL","Jamal Anderson","RB","149000","11500","0","0","0","0","0","160500","5.51"
"1995","BUF","Thurman Thomas","RB","2800000","0","0","0","0","0","0","2800000","19.78"
"1995","BUF","Jim Kelly","QB","1570000","375000","0","0","100000","590000","0","2635000","18.62"
"1995","BUF","Bruce Smith","DE","1600000","1016666","0","0","0","0","0","2616666","18.49"
"1995","BUF","Phil Hansen","DE","1538000","333333","0","0","0","0","0","1871333","13.22"
"1995","BUF","Henry Jones","S","1000000","600000","0","0","0","0","0","1600000","11.3"
"1995","BUF","Andre Reed","WR","1185000","166668","0","0","0","0","0","1351668","9.55"
"1995","BUF","Ted Washington","DT","600000","270000","0","0","0","0","0","870000","6.15"
"1995","BUF","Todd Collins","QB","250000","160000","0","0","0","0","0","410000","2.9"
"1995","CAR","Lamar Lathon","LB","2500000","600000","0","0","0","0","0","3100000","55.04"
"1995","CAR","Kerry Collins","QB","632000","1000000","0","0","0","0","0","1632000","28.98"
"1995","CAR","John Kasay","K","700000","200000","0","0","0","0","0","900000","15.98"
"1995","CHI","Steve Walsh","QB","1500000","0","0","0","0","0","0","1500000","40.32"
"1995","CHI","Mark Carrier","S","1000000","400000","0","0","0","0","0","1400000","37.63"
"1995","CHI","Rashaan Salaam","RB","365000","455000","0","0","0","0","0","820000","22.04"
"1995","CIN","Jeff Blake","QB","37140000","0","0","0","0","0","0","37140000","92.61"
"1995","CIN","James Francis","LB","2794000","0","0","0","0","0","0","2794000","6.97"
"1995","CIN","Rich Braham","C","168750","0","0","0","0","0","0","168750","0.42"
"1995","CLE","Andre Rison","WR","578000","1000000","0","0","0","0","0","1578000","54.05"
"1995","CLE","Eric Turner","S","250000","916666","0","0","0","0","0","1166666","39.96"
"1995","DAL","Emmitt Smith","RB","2400000","1000000","0","0","0","0","0","3400000","27.81"
"1995","DAL","Troy  Aikman","QB","1120000","1031250","0","0","0","340000","0","2491250","20.37"
"1995","DAL","Michael Irvin","WR","1069300","900040","0","0","0","0","0","1969340","16.11"
"1995","DAL","Deion Sanders","CB","178000","1700000","0","0","0","0","0","1878000","15.36"
"1995","DAL","Russell Maryland","DT","1100000","720000","0","0","0","0","0","1820000","14.88"
"1995","DAL","Darren Woodson","S","408000","100000","0","0","0","0","0","668500","5.47"
"1995","DEN","John Elway","QB","3000000","1500000","0","0","0","0","0","4500000","42.39"
"1995","DEN","Anthony Miller","WR","1700000","600000","0","0","0","0","0","2300000","21.66"
"1995","DEN","Mike Pritchard","WR","1000000","500000","0","0","0","0","0","1500000","14.13"
