year,team_id,player_id,position_id,base_salary,signing_bonus,roster_bonus,option_bonus,workout_bonus,restructured_bonus,dead_cap,cap_hit,cap_percentage
1994,TEN,199015,LB,400000,200000,0,0,0,0,0,600000,100.0
1994,LAR,19915,CB,700000,470000,0,0,0,0,0,1170000,39.51
1994,LAR,199310,RB,442000,400000,0,0,0,0,0,843750,28.49
1994,LAR,199023,C,355000,175000,0,0,0,0,0,530000,17.9
1994,LAR,199433,WR,117500,0,300000,0,0,0,0,417500,14.1
1994,ARI,1987110,QB,2000000,333333,0,0,0,0,0,2833333,45.52
1994,ARI,199159,CB,750000,450000,0,0,0,0,0,1200000,19.28
1994,ARI,199016,CB,725000,0,0,0,0,0,0,725000,11.65
1994,ARI,199119,CB,450000,0,40000,0,0,0,0,490000,7.87
1994,ARI,000016,CB,108000,0,0,0,0,0,0,108000,1.74
1994,ARI,199476,C,47647,0,0,0,0,0,0,47647,0.77
1994,ATL,19901,QB,2250000,0,0,0,0,0,0,2250000,44.76
1994,ATL,198922,WR,647589,500000,150000,0,0,0,0,1297589,25.81
1994,ATL,1994201,RB,108000,11500,0,0,0,0,0,119500,2.38
1994,BUF,198314,QB,2800000,375000,0,0,100000,0,0,3275000,28.02
1994,BUF,19851,DE,2800000,250000,0,0,0,0,0,3050000,26.1
1994,BUF,198840,RB,2800000,0,0,0,0,0,0,2800000,23.96
1994,BUF,198586,WR,1185000,166666,0,0,0,0,0,1351666,11.57
1994,BUF,199126,S,390000,175000,0,0,0,0,0,590000,5.05
1994,BUF,199154,DE,162000,333333,0,0,0,0,0,495333,4.24
1994,CHI,19906,S,550000,300000,0,0,0,0,0,850000,58.62
1994,CHI,00002393,QB,600000,0,0,0,0,0,0,600000,41.38
1994,CIN,199012,OLB,500000,220000,0,0,0,0,0,720000,48.58
1994,CIN,199020,RB,600000,0,0,0,0,0,0,600000,40.49
1994,CIN,1992166,QB,162000,0,0,0,0,0,0,162000,10.93
1994,CLE,19912,S,1000000,787500,0,0,0,0,0,1812500,65.02
1994,CLE,1986146,QB,800000,175000,0,0,0,0,0,975000,34.98
1994,DAL,19891,QB,1750000,1489584,0,0,0,0,0,3239584,27.94
1994,DAL,199017,RB,2200000,1000000,0,0,0,0,0,3200000,27.6
1994,DAL,19911,DT,950000,720000,0,0,0,0,0,1720000,14.83
1994,DAL,198811,WR,1250000,0,0,0,0,0,0,1450000,12.5
1994,DAL,199112,WR,868000,0,0,0,0,0,0,868000,7.49
1994,DAL,199237,S,358000,100000,0,0,0,0,0,568500,4.9
1994,DAL,19902,RB,550000,0,0,0,0,0,0,550000,4.74
1994,DEN,19831,QB,3000000,1500000,0,0,0,0,0,4500000,46.08
1994,DEN,198815,WR,1000000,600000,0,0,0,0,0,1600000,16.38
1994,DEN,1990192,TE,700000,100000,0,0,0,0,0,810000,8.29
1994,DEN,19914,OLB,218750,520000,0,0,0,0,0,738750,7.56
1994,DEN,199022,CB,700000,0,0,0,0,0,0,700000,7.17
1994,DEN,199113,WR,200000,500000,0,0,0,0,0,700000,7.17
1994,DEN,199125,DT,338000,0,50000,0,0,0,0,476000,4.87
1994,DEN,1993105,CB,180000,0,0,0,0,0,0,180000,1.84
1994,DET,19893,RB,2575000,0,400000,105000,0,0,0,3080000,71.96
1994,DET,199110,WR,1200000,0,0,0,0,0,0,1200000,28.04
1994,GNB,199133,QB,1600000,515000,500000,0,0,0,0,2615000,89.63
1994,GNB,199019,RB,300000,0,0,0,0,0,0,300000,10.28
1994,IND,199018,LB,2200000,750000,0,0,0,0,0,2950000,63.24
1994,IND,19942,RB,986000,728571,0,0,0,0,0,1714571,36.76
1994,KAN,198210,RB,1100000,83333,0,0,0,0,0,1248333,83.31
1994,LAC,19905,OLB,2025000,860000,50000,0,0,0,0,2935000,79.0
1994,LAC,19919,S,649000,0,0,0,0,0,0,649000,17.47
1994,LAC,1994145,S,110000,15000,6000,0,0,0,0,131000,3.53
1994,MIA,198327,QB,2600000,583333,0,0,0,0,0,3183333,51.76
1994,MIA,1989315,CB,936647,325000,0,0,0,0,0,1261647,20.51
1994,MIA,19909,T,550000,645000,0,0,0,0,0,1230000,20.0
1994,MIA,19908,OLB,475000,0,0,0,0,0,0,475000,7.72
1994,MIN,00003200,WR,1295000,180000,0,0,0,0,0,2075000,40.41
1994,MIN,1990241,RB,880000,125000,0,0,0,0,0,1255000,24.44
1994,MIN,1990241,RB,880000,125000,250000,0,0,0,0,1255000,24.44
1994,MIN,199352,WR,140781,109375,100000,0,0,0,0,350156,6.82
1994,MIN,1992227,QB,200000,0,0,0,0,0,0,200000,3.89
1994,NWE,19931,QB,1281250,750000,0,0,0,0,0,2031250,34.83
1994,NWE,199111,T,1400000,250000,0,0,0,0,0,1650000,28.3
1994,NWE,19944,OLB,525000,825000,0,0,0,0,0,1350000,23.15
1994,NWE,199010,DT,560000,200000,0,0,40000,0,0,800000,13.72
1994,NOR,199014,OLB,1750000,650000,0,0,0,0,0,2400000,90.81
1994,NOR,1992138,WR,162000,0,81000,0,0,0,0,243000,9.19
1994,NYG,199024,RB,1875000,400000,0,0,0,0,0,2275000,43.58
1994,NYG,00002412,QB,850000,400000,0,0,0,0,0,1250000,23.95
1994,NYG,199214,TE,625000,387500,20000,0,0,0,0,1032500,19.78
1994,NYG,199340,DE,212500,150000,0,0,0,0,0,362500,6.94
1994,NYG,1988257,S,275000,0,25000,0,0,0,0,300000,5.75
1994,OAK,19886,WR,2000000,750000,0,0,0,0,0,2750000,44.19
1994,OAK,199011,DE,1400000,0,0,0,0,0,0,1400000,22.5
1994,OAK,1991100,WR,1200000,0,0,0,0,0,0,1200000,19.28
1994,OAK,199127,RB,473000,0,0,0,0,0,0,473000,7.6
1994,OAK,199121,RB,250000,0,150000,0,0,0,0,400000,6.43
1994,OAK,199358,QB,0,0,0,0,0,0,0,0,0.0
1994,PIT,199021,TE,1434000,0,0,0,0,0,0,1434000,58.32
1994,PIT,199211,T,650000,375000,0,0,0,0,0,1025000,41.68
1994,SFO,198516,WR,2000000,380000,0,0,0,0,0,2380000,54.45
1994,SFO,19895,CB,1134000,0,0,0,0,0,0,1134000,25.95
1994,SFO,199025,RB,450000,163000,25000,0,0,0,0,638000,14.6
1994,SEA,19903,DT,850000,708333,0,0,200000,0,0,1758333,100.0
1994,TAM,19946,QB,800000,562500,0,0,0,0,0,1362500,49.78
1994,TAM,19917,G,625000,400000,25000,0,40000,0,0,1090000,39.82
1994,TAM,199382,S,204750,80000,0,0,0,0,0,284750,10.4
1994,TEN,198634,WR,1433333,66666,0,0,0,0,0,1499999,89.39
1994,TEN,19904,LB,178000,0,0,0,0,0,0,178000,10.61
1995,LAR,199023,C,1000000,400000,0,0,200,0,0,1400200,28.15
1995,LAR,19915,CB,900000,470000,0,0,0,0,0,1370000,27.54
1995,LAR,199310,RB,531000,400000,0,0,0,0,0,932500,18.75
1995,LAR,1986146,QB,375000,375000,0,0,0,0,0,750000,15.08
1995,LAR,199433,WR,221875,0,300000,0,0,0,0,521875,10.49
1995,ARI,199159,CB,1350000,450000,0,0,0,0,0,1800000,41.58
1995,ARI,000016,S,250000,31666,0,0,0,0,0,281666,6.51
1995,ARI,199022,CB,178000,0,0,0,0,0,0,178000,4.11
1995,ATL,19901,QB,2750000,0,0,0,0,0,0,2750000,94.49
1995,ATL,1994201,RB,149000,11500,0,0,0,0,0,160500,5.51
1995,BUF,198840,RB,2800000,0,0,0,0,0,0,2800000,19.78
1995,BUF,198314,QB,1570000,375000,0,0,100000,590000,0,2635000,18.62
1995,BUF,19851,DE,1600000,1016666,0,0,0,0,0,2616666,18.49
1995,BUF,199154,DE,1538000,333333,0,0,0,0,0,1871333,13.22
1995,BUF,199126,S,1000000,600000,0,0,0,0,0,1600000,11.3
1995,BUF,198586,WR,1185000,166668,0,0,0,0,0,1351668,9.55
1995,BUF,199125,DT,600000,270000,0,0,0,0,0,870000,6.15
1995,BUF,199545,QB,250000,160000,0,0,0,0,0,410000,2.9
1995,CAR,199015,OLB,2500000,600000,0,0,0,0,0,3100000,55.04
1995,CAR,19955,QB,632000,1000000,0,0,0,0,0,1632000,28.98
1995,CAR,199198,K,700000,200000,0,0,0,0,0,900000,15.98
