name,seasonal_av,year,player_id,college,position,height,weight,hand_size,arm_length,wonderlic,dash,bench,vert_leap,broad_jump,shuttle,cone,long_shuttle
Rahim Abdullah,3.5,1999,5585,Clemson,OLB,77,244,0,0,0,4.85,17,34,118,4.36,7.24,0
Brendon Ayanbadejo,2.8,1999,5588,UCLA,OLB,73,234,0,0,0,4.67,18,36,117,4.36,7.57,0
Jerry Azumah,4.428571429,1999,5589,New Hampshire,RB,70,195,0,0,0,4.48,15,43.5,132,3.86,6.9,0
Champ Bailey,10.06666667,1999,5590,Georgia,CB,73,184,0,0,0,4.28,0,37,121,3.79,0,0
Karsten Bailey,0.25,1999,5591,Auburn,WR,73,205,0,0,0,4.33,0,40,121,3.99,6.99,0
Eugene Baker,0.25,1999,5592,Kent State (OH),WR,73,167,0,0,0,4.46,0,36.5,126,4.03,6.9,0
Lionel Barnes,0.6,1999,5594,North Carolina Central,DE,77,264,0,0,0,5,24,34,112,4.52,7.51,0
Marlon Barnes,0,1999,5595,Colorado,RB,70,211,0,0,0,4.49,18,35.5,120,4.32,7.31,0
Eric Barton,5,1999,5596,Maryland,ILB,75,247,0,0,0,4.68,20,32,112,4.32,7.6,0
Michael Basnight,3,1999,5597,North Carolina A&T,RB,73,241,0,0,0,4.6,18,34.5,118,4.42,7.34,0
D'Wayne Bates,2,1999,5598,Northwestern,WR,74,215,0,0,0,4.59,0,37,117,4.24,7.25,0
Michael Bishop,0,1999,5601,Kansas State,QB,73,205,0,0,10,4.85,0,33,113,4.62,7.63,0
Dre' Bly,5.727272727,1999,5603,North Carolina,CB,70,186,0,0,0,4.51,0,34.5,116,4.09,7.1,0
David Boston,6.666666667,1999,5604,Ohio State,WR,73,215,0,0,0,4.47,0,37,116,4.09,7.2,0
David Bowens,2.833333333,1999,5605,Western Illinois,DE,75,255,0,0,0,4.85,0,31,112,4.38,7.4,0
Melvin Bradley,0,1999,5606,Arkansas,DE,73,269,0,0,0,4.67,0,31,111,4.32,7.42,0
Aaron Brooks,10.28571429,1999,5609,Virginia,QB,76,203,0,0,17,4.6,0,35.5,120,4.29,7.52,0
Larry Brown,1.6,1999,5613,Georgia,TE,77,278,0,0,0,4.94,20,34,113,4.5,7.35,0
Na Brown,1.333333333,1999,5614,North Carolina,WR,73,184,0,0,0,4.56,0,40.5,110,0,0,0
Wilbert Brown,1.333333333,1999,5615,Houston,OG,74,311,0,0,0,5.58,22,26,98,5.02,8.46,0
Fernando Bryant,4.4,1999,5616,Alabama,CB,70,183,0,0,0,4.5,0,35.5,115,4.06,7.03,0
Tony Bryant,3.666666667,1999,5617,Florida State,DE,76,273,0,0,0,4.85,16,34.5,111,4.57,7.57,0
Shawn Bryson,3.142857143,1999,5618,Tennessee,FB,73,235,0,0,0,4.63,18,38.5,128,0,0,0
Doug Brzezinski,2.666666667,1999,5619,Boston College,OG,76,309,0,0,0,5.32,26,26,98,4.53,0,0
Dan Campbell,0.7,1999,5624,Texas A&M,TE,77,263,0,0,0,4.85,25,36,121,4.07,7,0
Johndale Carty,1,1999,5625,Utah State,FS,73,192,0,0,0,4.58,12,40,126,4.15,7,0
Darrin Chiaverini,1.25,1999,5629,Colorado,WR,73,212,0,0,0,4.53,0,33,112,4.16,0,0
Chris Claiborne,5.25,1999,5630,Southern California,ILB,75,248,0,0,0,4.63,16,34,116,4.37,7.68,0
Desmond Clark,2.583333333,1999,5631,Wake Forest,TE,75,255,0,0,0,4.86,12,31,113,4.35,7.3,0
Mike Cloud,0.857142857,1999,5632,Boston College,RB,71,200,0,0,0,4.56,17,38.5,117,4.16,6.8,0
Rich Coady,1.666666667,1999,5633,Texas A&M,SS,73,210,0,0,0,4.55,20,36,119,3.88,7.11,0
Antonio Cochran,2.857142857,1999,5635,Georgia,DE,76,297,0,0,0,5.12,19,33,112,4.55,7.87,0
Cecil Collins,3,1999,5640,McNeese State (LA),RB,69,209,0,0,0,4.51,17,33,117,0,7.21,0
Rosevelt Colvin,4.5,1999,5642,Purdue,DE,75,256,0,0,0,4.92,0,36.5,119,4.19,7.08,0
Rashard Cook,1,1999,5646,Southern California,FS,71,197,0,0,0,4.77,13,36,122,4.3,7.2,0
Tim Couch,6.4,1999,5649,Kentucky,QB,76,225,0,0,22,5.08,0,31,0,4.34,0,0
Scott Covington,0,1999,5650,Miami,QB,74,219,0,0,21,4.67,0,34,109,4.42,7.62,0
Jason Craft,2.8,1999,5651,Colorado State,CB,70,178,0,0,0,4.52,14,37.5,113,4.2,6.97,0
Daunte Culpepper,8.818181818,1999,5652,Central Florida,QB,76,255,0,0,18,4.52,0,39,122,4.13,7.21,0
DeMarcus Curry,0,1999,5654,Auburn,OT,77,317,0,0,0,5.35,20,25.5,98,4.69,7.98,0
Antico Dalton,0,1999,5658,Hampton,OLB,73,242,0,0,0,4.71,30,35,117,4.32,7.49,0
Russell Davis,4.222222222,1999,5661,North Carolina,DT,76,294,0,0,0,4.95,27,27.5,104,4.56,8.06,0
James Dearth,0.1,1999,5663,Tarleton State (TX),TE,76,273,0,0,0,5.01,25,29.5,112,4.57,8.3,0
Autry Denson,0.75,1999,5664,Notre Dame,RB,70,197,0,0,0,4.67,20,31,116,4.15,6.97,0
Dan Dercher,0,1999,5665,Kansas,OT,78,293,0,0,0,5.28,14,28,109,4.49,7.78,0
Jared DeVries,2.2,1999,5666,Iowa,DT,76,279,0,0,0,4.97,24,32.5,111,4.14,7.28,0
Adrian Dingle,2.6,1999,5667,Clemson,DE,75,290,0,0,0,4.94,20,33,112,4.4,7.43,0
Antonio Dingle,0,1999,5668,Virginia,DT,74,320,0,0,0,5.26,22,31,102,4.85,8.12,0
Dameane Douglas,0.5,1999,5670,California,WR,73,201,0,0,0,4.64,0,31.5,119,4.36,7.36,0
Antuan Edwards,2.142857143,1999,5673,Clemson,SS,73,210,0,0,0,4.46,0,38,123,3.96,6.89,0
Eric Edwards,0.5,1999,5675,Oregon,CB,71,180,0,0,0,4.65,10,34,113,4.27,7.3,0
Troy Edwards,3,1999,5676,Louisiana Tech,WR,70,191,0,0,0,4.57,0,36.5,118,4.16,7.37,0
Ebenezer Ekuban,4.444444444,1999,5677,North Carolina,DE,76,281,0,0,0,4.7,0,32,112,4.39,7.36,0
Kris Farris,1,1999,5680,UCLA,OT,80,313,0,0,0,5.12,20,24,95,4.76,8,0
Kevin Faulk,5.384615385,1999,5682,Louisiana State,RB,68,205,0,0,0,4.57,0,34,114,4.09,7.14,0
Jermaine Fazande,2.5,1999,5683,Oklahoma,FB,73,268,0,0,0,4.79,18,31.5,107,4.7,8.06,0
Jim Finn,0.571428571,1999,5684,Pennsylvania,FB,70,228,0,0,0,4.62,24,31.5,108,4.21,7.18,0
Bryce Fisher,4,1999,5685,Air Force,DE,76,283,0,0,0,5,19,31,106,4.34,7.64,0
Charles Fisher,0,1999,5686,West Virginia,CB,73,182,0,0,0,4.49,10,38,124,4.16,0,0
Derrick Fletcher,1,1999,5687,Baylor,OT,78,374,0,0,0,5.2,27,0,0,0,0,0
Jay Foreman,3.75,1999,5688,Nebraska,ILB,73,241,0,0,0,4.66,20,36,117,4.16,7.2,0
Lennie Friedman,2.625,1999,5692,Duke,OG,75,301,0,0,0,5.36,25,29,100,4.51,8.04,0
Barry Gardner,2.857142857,1999,5697,Northwestern,ILB,73,242,0,0,0,4.71,25,33,113,4.32,7.42,0
Kelvin Garmon,5.25,1999,5698,Baylor,OG,75,329,0,0,0,5.09,23,25,96,4.66,7.84,0
Olandis Gary,3.4,1999,5699,Georgia,RB,73,216,0,0,0,4.71,22,34,116,4.13,7.15,0
Tony George,1,1999,5700,Florida,SS,71,198,0,0,0,4.61,15,36.5,117,4.24,7.3,0
