year,team_id,wins,losses,ties,pf,pa,pd,wc,d,c,sl,sw
1978,BUF,5,11,0,302,354,-52,0,0,0,0,0
1978,CHI,7,9,0,253,274,-21,0,0,0,0,0
1978,MIN,8,7,1,294,306,-12,1,1,0,0,0
1978,PIT,14,2,0,356,195,161,1,1,1,1,1
1978,LAC,9,7,0,355,309,46,0,0,0,0,0
1978,ATL,9,7,0,240,290,-50,1,1,0,0,0
1978,LAR,12,4,0,316,245,71,1,1,1,0,0
1978,TEN,10,6,0,283,298,-15,1,1,1,0,0
1978,NYJ,8,8,0,359,364,-5,0,0,0,0,0
1978,PHI,9,7,0,270,250,20,1,0,0,0,0
1978,GNB,8,7,1,249,269,-20,0,0,0,0,0
1978,DAL,12,4,0,384,208,176,1,1,1,1,0
1978,NYG,6,10,0,264,298,-34,0,0,0,0,0
1978,SEA,9,7,0,345,358,-13,0,0,0,0,0
1978,CLE,8,8,0,334,356,-22,0,0,0,0,0
1978,OAK,9,7,0,311,283,28,0,0,0,0,0
1978,NWE,11,5,0,358,286,72,1,1,0,0,0
1978,KAN,4,12,0,243,327,-84,0,0,0,0,0
1978,ARI,6,10,0,248,296,-48,0,0,0,0,0
1978,DEN,10,6,0,282,198,84,1,1,0,0,0
1978,WAS,8,8,0,273,283,-10,0,0,0,0,0
1978,DET,7,9,0,290,300,-10,0,0,0,0,0
1978,SFO,2,14,0,219,350,-131,0,0,0,0,0
1978,MIA,11,5,0,372,254,118,1,0,0,0,0
1978,CIN,4,12,0,252,284,-32,0,0,0,0,0
1978,NOR,7,9,0,281,298,-17,0,0,0,0,0
1978,IND,5,11,0,239,421,-182,0,0,0,0,0
1978,TAM,5,11,0,241,259,-18,0,0,0,0,0
1979,BUF,7,9,0,268,279,-11,0,0,0,0,0
1979,CHI,10,6,0,306,249,57,1,0,0,0,0
1979,MIN,7,9,0,259,337,-78,0,0,0,0,0
1979,PIT,12,4,0,416,262,154,1,1,1,1,1
1979,LAC,12,4,0,411,246,165,1,1,0,0,0
1979,ATL,6,10,0,300,388,-88,0,0,0,0,0
1979,LAR,9,7,0,323,309,14,1,1,1,1,0
1979,TEN,11,5,0,362,331,31,1,1,1,0,0
1979,NYJ,8,8,0,337,383,-46,0,0,0,0,0
1979,PHI,11,5,0,339,282,57,1,1,0,0,0
1979,GNB,5,11,0,246,316,-70,0,0,0,0,0
1979,DAL,11,5,0,371,313,58,1,1,0,0,0
1979,NYG,6,10,0,237,323,-86,0,0,0,0,0
1979,SEA,9,7,0,378,372,6,0,0,0,0,0
1979,CLE,9,7,0,359,352,7,0,0,0,0,0
1979,OAK,9,7,0,365,337,28,0,0,0,0,0
1979,NWE,9,7,0,411,326,85,0,0,0,0,0
1979,KAN,7,9,0,238,262,-24,0,0,0,0,0
1979,ARI,5,11,0,307,358,-51,0,0,0,0,0
1979,DEN,10,6,0,289,262,27,1,0,0,0,0
1979,WAS,10,6,0,348,295,53,0,0,0,0,0
1979,DET,2,14,0,219,365,-146,0,0,0,0,0
1979,SFO,2,14,0,308,416,-108,0,0,0,0,0
