,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2017,542,732,40,.426,Hart,Hart,Anderson,Fitzgerald,Whisenhunt,10,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,0,0
Arizona Cardinals,1994,2017,159,208,1,.433,,,,,,5,0,0,1,3
Atlanta Falcons,1966,2017,341,437,6,.438,Kenn,Ryan,Riggs,White,Smith,13,0,0,2,7
Baltimore Ravens,1996,2017,181,154,1,.540,Lewis,Flacco,Lewis,Mason,Harbaugh,10,2,2,2,4
Buffalo Bills,1960,2017,400,460,8,.465,Smith,Kelly,Thomas,Reed,Levy,17,2,0,4,11
Carolina Panthers,1995,2017,172,179,1,.490,Smith,Newton,Williams,Smith,Fox,7,0,0,2,6
Chicago Bears,1920,2017,744,568,42,.567,Payton,Cutler,Payton,Morris,Halas,25,9,1,2,23
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,1,0,0,1
Chicago Bears,1922,2017,725,566,39,.562,,,,,,25,8,1,2,22
Cincinnati Bengals,1968,2017,344,408,4,.458,Munoz,Anderson,Dillon,Johnson,Lewis,14,0,0,2,10
Cleveland Browns,1946,2017,509,470,13,.520,Matthews,Sipe,Brown,Newsome,Brown,28,8,0,0,23
Dallas Cowboys,1960,2017,493,367,6,.573,Smith,Romo,Smith,Irvin,Landry,32,5,5,8,23
Denver Broncos,1960,2017,465,393,10,.542,Elway,Elway,Davis,Smith,Shanahan,22,3,3,8,15
Detroit Lions,1930,2017,544,641,32,.459,Sanders,Stafford,Sanders,Johnson,Fontes,17,4,0,0,8
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,0,0
Detroit Lions,1934,2017,516,625,25,.452,,,,,,17,4,0,0,8
Green Bay Packers,1921,2017,730,553,37,.569,Favre,Favre,Green,Driver,Lambeau,32,13,4,5,28
Houston Texans,2002,2017,106,134,0,.442,Johnson,Schaub,Foster,Johnson,Kubiak,4,0,0,0,4
Indianapolis Colts,1953,2017,502,441,7,.532,Manning,Manning,James,Harrison,Dungy,27,4,2,4,21
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,3,1,2,10
Indianapolis Colts,1984,2017,280,247,0,.531,,,,,,17,1,1,2,11
Jacksonville Jaguars,1995,2017,155,197,0,.440,Smith,Brunell,Taylor,Smith,Coughlin,6,0,0,0,2
Kansas City Chiefs,1960,2017,447,409,12,.522,Shields,Dawson,Charles,Gonzalez,Stram,19,2,1,2,10
Dallas Texans,1960,1962,25,17,0,.595,,,,,,1,1,0,0,1
Kansas City Chiefs,1963,2017,422,392,12,.518,,,,,,18,1,1,2,9
Los Angeles Chargers,1960,2017,426,431,11,.497,Rivers,Rivers,Tomlinson,Gates,Gillman,18,1,0,1,15
