Date,Team,Acquired,Relinquished,Notes
1995-01-01,Buccaneers,&bull; Rich McKay,,promoted to GM (date approximate)
1995-01-01,Eagles,,&bull; Rich Kotite,fired as head coach
1995-01-01,Jaguars,&bull; 1995 fourth round pick (from Browns) (?-?),&bull; 1995 fifth round pick (?-?)<br/>&bull; 1996 sixth round pick (#186-James Roe),trade with Ravens (date approximate)
1995-01-01,Raiders,&bull; Leo Araguz,,signed undrafted free agent (date approximate)
1995-01-01,Rams,,&bull; Chuck Knox Sr.,fired as head coach (date approximate)
1995-01-01,Ravens,&bull; 1995 fifth round pick (?-?)<br/>&bull; 1996 sixth round pick (#186-James Roe),&bull; 1995 fourth round pick (from Browns) (?-?),trade with Jaguars (date approximate)
1995-01-01,Eagles,,&bull; 1995 third round pick (#74-Curtis Martin),sent to Patriots as compensation for Kevin Turner (date approximate)
1995-01-01,Patriots,&bull; 1995 third round pick (#74-Curtis Martin),,received from Eagles as compensation for Kevin Turner (date approximate)
1995-01-05,Jets,,&bull; Pete Carroll,fired as head coach
1995-01-05,Jets,&bull; Rich Kotite,,hired as head coach
1995-01-05,Oilers,&bull; Jeff Fisher,,promoted to head coach
1995-01-11,Packers,,&bull; Dick Jauron,resigned as defensive backs coach (date approximate)
1995-01-12,Jaguars,&bull; Dick Jauron,,hired as defensive coordinator
1995-01-13,Bengals,&bull; John Garrett (M.),,hired as assistant offensive coach
1995-01-13,Lions,,&bull; Billie Matthews,retired as assistant running backs coach
1995-01-13,Lions,,&bull; Dave Jaumotte,fired as tight ends coach
1995-01-13,Lions,,&bull; Lamar Leachman,fired as assistant defensive line coach
1995-01-13,Lions,,&bull; Pat Swilling,"team declined to exercise contract option, making player an unrestricted free agent"
1995-01-13,Lions,&bull; John Teerlinck,,hired as assistant defensive coach
1995-01-13,Saints,,&bull; Vic Fangio,resigned as linebackers coach
1995-01-14,Jaguars,&bull; Kevin Gilbride Sr.,,hired as offensive coordinator
1995-01-14,Packers,,&bull; Steve McMichael,waived
1995-01-16,Rams,&bull; Steve Ortmayer,,hired as VP of football operations
1995-01-16,Saints,&bull; Monte Kiffin,,hired as defensive coordinator
1995-01-16,Seahawks,&bull; Clarence Shelmon,,hired as running backs coach
1995-01-16,Seahawks,&bull; Tommy Brasher,,hired as defensive line coach
1995-01-17,Bills,&bull; Wade Phillips,,hired as defensive coordinator
1995-01-17,Oilers,&bull; Jerry Rhome,,hired as offensive coordinator
