player,position,av,QB,RB,DE,WR,LB,CB,OT,S,TE
Deshaun Watson,QB,9,9,,,,,,,,
Leonard Fournette,RB,6.3,,6.3,,,,,,,
Takkarist McKinley,DE,5.94,,,5.94,,,,,,
Patrick Mahomes,QB,5.33,5.33,,,,,,,,
Corey Davis,WR,5.03,,,,5.03,,,,,
Jonathan Allen,DE,4.83,,,4.83,,,,,,
Solomon Thomas,DE,4.78,,,4.78,,,,,,
T.J. Watt,LB,4.44,,,,,4.44,,,,
Myles Garrett,DE,4.28,,,4.28,,,,,,
Marlon Humphrey,CB,3.88,,,,,,3.88,,,
Haason Reddick,DE,3.78,,,3.78,,,,,,
Jabrill Peppers,LB,3.67,,,,,3.67,,,,
Marshon Lattimore,CB,3.4,,,,,,3.4,,,
Garett Bolles,OT,3.17,,,,,,,3.17,,
Jarrad Davis,LB,2.72,,,,,2.72,,,,
Reuben Foster,LB,2.72,,,,,2.72,,,,
Taco Charlton,DE,2.64,,,2.64,,,,,,
TreDavious White,CB,2.56,,,,,,2.56,,,
Derek Barnett,DE,2.47,,,2.47,,,,,,
Jamal Adams,S,2.33,,,,,,,,2.33,
David Njoku,TE,2.31,,,,,,,,,2.31
Gareon Conley,CB,2.17,,,,,,2.17,,,
O.J. Howard,TE,2.03,,,,,,,,,2.03
Charles Harris,DE,1.94,,,1.94,,,,,,
Christian McCaffrey,RB,1.89,,1.89,,,,,,,
Adoree Jackson,CB,1.73,,,,,,1.73,,,
John Ross,WR,1.33,,,,1.33,,,,,
Malik Hooker,S,1.33,,,,,,,,1.33,
Mike Williams,WR,1.17,,,,1.17,,,,,
Mitchell Trubisky,QB,0.72,0.72,,,,,,,,
Ryan Ramczyk,OT,0.67,,,,,,,0.67,,
Evan Engram,TE,0.11,,,,,,,,,0.11
