Date,Team,Acquired,Relinquished,Notes
1994-01-01,Browns,&bull; 1994 first round pick (#29-Derrick Alexander (a)),&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; Browns best 1995 second round pick (#58-Barrett Brooks),trade with Eagles (date approximate)
1994-01-01,Cardinals,&bull; 1995 fourth round pick (?-?),&bull; 1994 sixth round pick (?-?),trade with Cowboys (date approximate)
1994-01-01,Cowboys,&bull; 1994 sixth round pick (?-?),&bull; 1995 fourth round pick (?-?),trade with Cardinals (date approximate)
1994-01-01,Eagles,&bull; 1994 second round pick (#40-David Palmer)<br/>&bull; Browns best 1995 second round pick (#58-Barrett Brooks),&bull; 1994 first round pick (#29-Derrick Alexander (a)),trade with Browns (date approximate)
1994-01-01,Falcons,,&bull; Jerry Glanville,resigned as head coach (date approximate)
1994-01-01,Steelers,&bull; 1994 third round pick (#88-Jason Gildon)<br/>&bull; 1994 sixth round pick (#180-Eric Ravotti),&bull; Adrian Cooper,trade with Vikings (date approximate)
1994-01-01,Vikings,&bull; Adrian Cooper,&bull; 1994 third round pick (#88-Jason Gildon)<br/>&bull; 1994 sixth round pick (#180-Eric Ravotti),trade with Steelers (date approximate)
1994-01-04,Saints,&bull; Bill Kuharich,,promoted to VP of football operations
1994-01-07,Chiefs,&bull; Keith Traylor,,signed free agent
1994-01-07,Colts,&bull; Bill Tobin,,hired as VP &amp; director of football operations
1994-01-07,Jets,,&bull; Bruce Coslet,fired as head coach
1994-01-07,Jets,&bull; Pete Carroll,,promoted to head coach
1994-01-15,Giants,,&bull; Lawrence Taylor,retired
1994-01-24,Falcons,&bull; June Jones,,hired as head coach
1994-01-27,Oilers,&bull; Floyd Reese,,promoted to executive VP / GM
1994-01-27,Oilers,&bull; Mike Holovak,,demoted to VP player personnel &amp; scouting
1994-02-01,Cowboys,,&bull; Norv Turner,resigned as offensive coordinator (date approximate)
1994-02-01,Patriots,&bull; Maurice Carthon,,hired as assistant coach (date approximate)
1994-02-01,Redskins,,&bull; Richie Petitbon,fired as head coach (date approximate)
1994-02-02,Oilers,,&bull; Buddy Ryan,resigned as defensive coordinator (date approximate)
1994-02-02,Redskins,&bull; Norv Turner,,hired as head coach
1994-02-03,Cardinals,&bull; Buddy Ryan,,hired as head coach &amp; GM
1994-02-05,Saints,,&bull; Joel Hilgenberg,"team withdrew transition player designation, making player a free agent"
1994-02-07,Browns,&bull; Jacob Burney,,hired as defensive line coach
1994-02-07,Falcons,&bull; Greg Brown,,hired as secondary coach
1994-02-07,Falcons,Bob Palcic,,hired as offensive line coach
1994-02-07,Jets,Don Breaux,,hired as tight ends coach
1994-02-08,Oilers,&bull; Dick Coury,,hired as offensive coordinator
1994-02-08,Oilers,&bull; Jeff Fisher,,hired as defensive coordinator
1994-02-08,Oilers,&bull; Kevin Gilbride Sr.,,promoted to assistant head coach/offense
1994-02-17,Saints,,&bull; Reginald Jones / Reggie Jones (M.),player became a free agent
1994-02-17,Saints,&bull; Reginald Jones / Reggie Jones (M.),,re-signed free agent
1994-02-18,Dolphins,&bull; Gene Atkins,,signed free agent (from Saints)
1994-02-18,Saints,,&bull; Gene Atkins,lost free agent (to Dolphins)
1994-02-21,Jaguars,&bull; Tom Coughlin,,hired as head coach
1994-02-23,Bears,&bull; Andy Heck,,signed free agent to a 4-year offer sheet
1994-02-23,Jets,,&bull; Chris Burkett,retired
1994-02-23,Oilers,&bull; Frank Bush,,hired as special teams coach and quality control coach
1994-02-23,Oilers,&bull; Frank Novak,,hired as special teams coach and running backs coach
1994-02-23,Oilers,&bull; Gregg Williams,,hired as linebackers coach
1994-02-23,Vikings,Jerry Rhome,,hired as receivers coach
1994-03-01,Chiefs,&bull; Jimmy Raye,,promoted to running backs coach (date approximate)
1994-03-01,Jets,&bull; Nick Lowery,,signed free agent (date approximate)
1994-03-01,Bills,,&bull; Richard Harvey (b),lost unrestricted free agent (to Broncos) (date approximate)
1994-03-01,Browns,,&bull; Randy Hilliard,lost unrestricted free agent (to Broncos) (date approximate)
1994-03-01,Lions,,&bull; Erik Kramer,lost free agent (to Bears) (date approximate)
1994-03-01,Lions,,&bull; Jeff Campbell,lost unrestricted free agent (to Broncos) (date approximate)
1994-03-01,Bears,&bull; Erik Kramer,,"signed free agent (from Lions) to a 3-year, $8.1M contract (date approximate)"
1994-03-01,Broncos,&bull; Jeff Campbell,,signed unrestricted free agent (from Lions) (date approximate)
1994-03-01,Broncos,&bull; Randy Hilliard,,signed unrestricted free agent (from Browns) (date approximate)
1994-03-01,Broncos,&bull; Richard Harvey (b),,signed unrestricted free agent (from Bills) (date approximate)
1994-03-02,Cardinals,Jeff Feagles,,signed free agent
1994-03-04,Browns,&bull; Donald Frank,&bull; 1995 sixth round pick (#197-Craig Whelihan),trade with Chargers
1994-03-04,Chargers,&bull; 1995 sixth round pick (#197-Craig Whelihan),&bull; Donald Frank,trade with Browns
1994-03-06,Dolphins,,&bull; Scott Mitchell,lost free agent (to Lions)
1994-03-06,Lions,&bull; Scott Mitchell,,signed free agent (from Dolphins)
1994-03-08,Bills,&bull; 1995 fourth round pick (#113-Justin Armour),&bull; James Williams (Earl) / J.D. Williams,trade with Cardinals
1994-03-08,Cardinals,&bull; James Williams (Earl) / J.D. Williams,&bull; 1995 fourth round pick (#113-Justin Armour),trade with Bills
1994-03-09,Bills,,&bull; Jim Ritcher,released
1994-03-09,Lions,,&bull; Ray Crockett,lost unrestricted free agent (to Broncos)
1994-03-09,Rams,,&bull; Michael Stewart,lost free agent (to Dolphins)
